"COD_LOTE";"SEMANA";"DIAS_SEMANA";"ETAPA_ZONA";"VAGAO_ESTEIRA";"SERVICO_LOTE";"META_FISICA";"DURACAO_DIAS";"EQUIPE_PREVISTA";"HEADCOUNT_PREVISTO";"EQUIPAMENTOS_PREVISTOS";"MATERIAIS_UCC";"RUP_META_HH_UNID";"STATUS_EXECUCAO";"RDO_VINCULADO"
"LOTE-011";"Semana 06";"Dias 31 a 33 (Seg-Qua)";"Etapa 3 e 1 (Baldrames e Pilares P1 a P8)";"Vagão 03: Concretagem VB13-19 & Fôrmas Pilares P1-8";"Concretagem VB13 a VB19 + Fôrmas e Armação Pilares P1 a P8 (Etapa 1)";"4,64 m³ conc baldrames + 8 pilares (28,6 m² fôrmas + 131 kg aço)";"3";"4 Carpinteiros + 3 Armadores + 2 Pedreiros + 5 Serventes";"14";"Prumos metálicos + Vibrador 45mm + Andaimes tubulares";"Concreto fck 30 MPa + Gravatas metálicas + Aço CA-50";"1,25 HH/m³";"PROGRAMADO";""
"LOTE-012";"Semana 06";"Dias 34 a 36 (Qui-Sáb)";"Etapa 1 e 2 (Pilares P1-8 Concreto & P9-16 Fôrmas)";"Vagão 03: Concretagem P1-8 & Fôrmas Pilares P9-16";"Concretagem Pilares P1 a P8 (Etapa 1) + Fôrmas Pilares P9 a P16 (Etapa 2)";"2,15 m³ concreto P1-8 + 8 pilares fôrmas P9-16 (28,6 m² + 131 kg)";"3";"4 Carpinteiros + 3 Armadores + 2 Pedreiros + 5 Serventes";"14";"Vibrador mangote 45mm + Prumos + Andaimes tubulares";"Concreto bombeável fck 30 MPa + Gravatas e sarrafos";"1,25 HH/m³";"PROGRAMADO";""
"LOTE-013";"Semana 07";"Dias 37 a 39 (Seg-Qua)";"Etapa 2 e 3 (Pilares P9-16 Concreto & P17-24 Fôrmas)";"Vagão 03: Concretagem P9-16 & Fôrmas Pilares P17-24";"Concretagem Pilares P9 a P16 + Fôrmas Pilares P17 a P24 (Etapa 3)";"2,15 m³ conc P9-16 + 8 pilares fôrmas P17-24 (28,6 m² + 131 kg)";"3";"4 Carpinteiros + 3 Armadores + 2 Pedreiros + 5 Serventes";"14";"Vibrador mangote 45mm + Andaimes + LOC-05 Gerador";"Concreto bombeável fck 30 MPa + Compensado 17mm";"1,20 HH/m³";"PROGRAMADO";""
"LOTE-014";"Semana 07";"Dias 40 a 42 (Qui-Sáb)";"Etapa 3 e 1 (Pilares P17-24 & Vigas Laje V101-108)";"Vagão 04: Concretagem P17-24 & Cimbramento Vigas";"Concretagem Pilares P17 a P24 + Cimbramento Vigas V101 a V108 (Etapa 1)";"2,14 m³ conc pilares (Total 24 P = 6,44 m³) + 104 m² fôrmas vigas";"3";"4 Carpinteiros + 3 Armadores + 2 Pedreiros + 5 Serventes";"14";"Cimbramento metálico modulado (LOC-08) + Vibrador 45mm";"Concreto fck 30 MPa + Escoramento metálico + Aço CA-50";"1,30 HH/m³";"PROGRAMADO";""
"LOTE-015";"Semana 08";"Dias 43 a 45 (Seg-Qua)";"Etapa 2 e 3 (Vigas Laje V109 a V115)";"Vagão 04: Cimbramento e Armação Vigas Superiores";"Montagem Cimbramento e Armação Vigas V109 a V115 (Etapas 2 e 3)";"7 vigas superiores (104 m² fôrmas + 940 kg aço CA-50 cortado)";"3";"4 Carpinteiros + 3 Armadores + 2 Pedreiros + 5 Serventes";"14";"Cimbramento metálico modulado (LOC-08) + Dobradeira";"Compensado resinado 17mm + Aço CA-50 + Espaçadores";"1,25 HH/m³";"PROGRAMADO";""
"LOTE-016";"Semana 08";"Dias 46 a 48 (Qui-Sáb)";"Térreo Geral (Laje Superior H12)";"Vagão 04: Montagem Vigotas Treliçadas & Concretagem Capa H12";"Vigotas Treliçadas, Blocos EPS, Malha Q-138 e Concretagem Laje H12";"968,8 m vigotas + 1.148 EPS + 999 kg malha + 13,17 m³ conc fck 30";"3";"1 Mestre + 4 Carpinteiros + 3 Pedreiros + 6 Serventes";"14";"Bomba de concreto sobre caminhão + Vibradores mangote";"Concreto bombeável fck 30 MPa (2 betoneiras) + Malha Q-138";"0,75 HH/m³";"PROGRAMADO";""
"LOTE-017";"Semana 09";"Dias 49 a 51 (Seg-Qua)";"Etapa 1 (Zona 1 - Recepção/Diretoria)";"Vagão 05: Alvenaria de Blocos";"Alvenaria de Vedação Blocos Concreto 14x19x39 - Etapa 1";"85 m² alvenaria de blocos com vergas, contravergas e telas";"3";"5 Pedreiros + 5 Serventes (SUB-02)";"10";"LOC-06 Betoneira 400L + Masseiras + Andaimes";"Blocos de concreto 14x19x39 + Argamassa pronta + Telas";"0,80 HH/m²";"PROGRAMADO";""
"LOTE-018";"Semana 09";"Dias 52 a 54 (Qui-Sáb)";"Etapa 2 (Zona 2 - Salas Técnicas/CPD)";"Vagão 05: Alvenaria de Blocos";"Alvenaria de Vedação Blocos Concreto 14x19x39 - Etapa 2 [Esteira Move]";"85 m² alvenaria de blocos com vergas e eletrodutos embutidos";"3";"5 Pedreiros + 5 Serventes (SUB-02)";"10";"LOC-06 Betoneira 400L + Andaimes tubulares";"Blocos de concreto + Argamassa pronta de assentamento";"0,80 HH/m²";"PROGRAMADO";""
"LOTE-019";"Semana 10";"Dias 55 a 57 (Seg-Qua)";"Etapa 3 (Zona 3 - Sanitários e Apoio)";"Vagão 05: Alvenaria de Blocos";"Alvenaria de Vedação Blocos Concreto - Etapa 3 [Conclusão Paredes]";"80 m² alvenaria divisórias WCs e copa com encunhamento";"3";"5 Pedreiros + 5 Serventes (SUB-02)";"10";"LOC-06 Betoneira 400L + Andaimes tubulares";"Blocos de concreto + Argamassa expansiva de encunhamento";"0,80 HH/m²";"PROGRAMADO";""
"LOTE-020";"Semana 10";"Dias 58 a 60 (Qui-Sáb)";"Etapa 1 a 3 (Cobertura e Platibanda)";"Vagão 06: Estrutura Metálica Cobertura";"Montagem das Terças Metálicas da Cobertura e Rufos";"381 m² projeção de terças galvanizadas perfil U + linha de vida";"3";"3 Montadores Especialistas + 2 Ajudantes + 4 Serventes Apoio";"9";"Guincho elétrico de coluna + Linha de vida + Cinto duplo";"Perfis metálicos U enrijecidos galvanizados + Chumbadores";"0,35 HH/m²";"PROGRAMADO";""
"LOTE-021";"Semana 11";"Dias 61 a 63 (Seg-Qua)";"Cobertura Superior";"Vagão 06: Telhamento Termoacústico";"Instalação de Telhas Termoacústicas Sandwich PIR 30mm";"381 m² telhas sandwich PIR + calhas de beiral e rufos";"3";"3 Montadores Especialistas + 2 Ajudantes + 4 Serventes Apoio";"9";"Parafusadeiras a bateria + EPIs específicos NR-35";"Telhas sandwich trapezoidais PIR + Parafusos autobrocantes";"0,28 HH/m²";"PROGRAMADO";""
"LOTE-022";"Semana 11";"Dias 64 a 66 (Qui-Sáb)";"Todos os Setores (Embutidos)";"Vagão 07: Redes Elétricas & Hidráulicas Embutidas";"Ranhuras, Eletrodutos, Caixas de Tomada e Tubulações Embutidas";"180 m eletrodutos flexíveis + 140 m tubos PVC esgoto e água";"3";"2 Eletricistas + 2 Encanadores + 4 Serventes (SUB-03/04)";"8";"Ranhuradora mecânica com aspirador + Termofusora 220V";"Tubos PVC esgoto tigre + Eletrodutos corrugados antichama";"0,55 HH/m";"PROGRAMADO";""
"LOTE-023";"Semana 12";"Dias 67 a 69 (Seg-Qua)";"Redes Hidráulicas (Portão de Qualidade 3)";"Vagão 07: Teste Hidrostático Estanqueidade";"Teste Hidrostático Pressurizado 72h em Redes de Água e Esgoto";"Pressão de 6 kgf/cm² por 72h em 16 pontos de consumo (Portão 3)";"3";"1 Encanador Oficial + 1 TST + 2 Serventes";"4";"Bomba manual de teste hidrostático + Manômetro aferido";"Água tratada + Plugs e registros de retenção";"0,15 HH/ponto";"PROGRAMADO";""
"LOTE-024";"Semana 12";"Dias 70 a 72 (Qui-Sáb)";"Etapa 1 e 2 (Paredes Internas)";"Vagão 08: Chapisco Rolado";"Chapisco Rolado com Resina Acrílica Fixadora nas Paredes";"440 m² chapisco rolado traço 1:3 com Bianco";"3";"4 Pedreiros + 4 Serventes (SUB-02)";"8";"LOC-06 Betoneira 400L + Rolos para textura";"Cimento CP II + Areia grossa + Aditivo adesivo Bianco";"0,25 HH/m²";"PROGRAMADO";""
"LOTE-025";"Semana 13";"Dias 73 a 75 (Seg-Qua)";"Etapa 1 (Zona 1 - Recepção/Diretoria)";"Vagão 08: Reboco Paulista Mecanizado";"Emboço/Reboco Paulista Projetado Mecanicamente - Etapa 1";"220 m² reboco espessura 2,0 cm com mestras metálicas";"3";"4 Pedreiros + 4 Serventes (SUB-02)";"8";"LOC-09 Projetor Mecânico de Argamassa + Réguas alumínio";"Argamassa pronta de emboço projetado + Cantoneiras PVC";"0,60 HH/m²";"PROGRAMADO";""
"LOTE-026";"Semana 13";"Dias 76 a 78 (Qui-Sáb)";"Etapa 2 e 3 (Salas Técnicas e Sanitários)";"Vagão 08: Reboco Paulista Mecanizado";"Emboço/Reboco Paulista Projetado - Etapa 2 e 3 [Esteira Move]";"220 m² reboco desempenado (Total paredes = 440 m²)";"3";"4 Pedreiros + 4 Serventes (SUB-02)";"8";"LOC-09 Projetor Mecânico de Argamassa + Desempenadeiras";"Argamassa pronta de emboço projetado + Aditivo plastificante";"0,60 HH/m²";"PROGRAMADO";""
"LOTE-027";"Semana 14";"Dias 79 a 81 (Seg-Qua)";"Etapa 3 (Sanitários e Copa - Áreas Molhadas)";"Vagão 09: Impermeabilização Áreas Molhadas";"Impermeabilização com Membrana Polimérica em Sanitários e Copa";"65 m² membrana com tela de poliéster em ralos e cantos";"3";"2 Impermeabilizadores + 3 Serventes (SUB-01)";"5";"Misturador mecânico de argamassa + Trinchas especiais";"Argamassa polimérica flexível Viapol + Tela estruturante";"0,40 HH/m²";"PROGRAMADO";""
"LOTE-028";"Semana 14";"Dias 82 a 84 (Qui-Sáb)";"Etapa 1 e 2 (Áreas Secas)";"Vagão 10: Regularização de Contrapiso";"Execução de Contrapiso Sarrafeado e Nivelado e=3cm";"180 m² contrapiso sarrafeado com nível a laser rotativo";"3";"3 Pedreiros + 4 Serventes (SUB-02)";"7";"LOC-06 Betoneira 400L + Nível laser rotativo + Réguas";"Argamassa semisseca de regularização traço 1:4";"0,50 HH/m²";"PROGRAMADO";""
"LOTE-029";"Semana 15";"Dias 85 a 87 (Seg-Qua)";"Etapa 1 (Zona 1 - Recepção/Diretoria)";"Vagão 11: Assentamento de Porcelanato";"Assentamento de Porcelanato Retificado 60x60cm - Etapa 1";"90 m² porcelanato 60x60 com dupla colagem e niveladores";"3";"3 Ladrilhistas + 3 Ajudantes (SUB-05)";"6";"Cortadora elétrica de bancada refrigerada + Ventosas";"Porcelanato retificado 60x60cm + Argamassa AC-III branca";"0,70 HH/m²";"PROGRAMADO";""
"LOTE-030";"Semana 15";"Dias 88 a 90 (Qui-Sáb)";"Etapa 2 (Zona 2 - Salas Técnicas/CPD)";"Vagão 11: Assentamento de Porcelanato";"Assentamento de Porcelanato Retificado 60x60cm - Etapa 2";"90 m² porcelanato 60x60 com dupla colagem (Total = 180 m²)";"3";"3 Ladrilhistas + 3 Ajudantes (SUB-05)";"6";"Cortadora elétrica de bancada + Espaçadores niveladores";"Porcelanato retificado 60x60cm + Argamassa AC-III";"0,70 HH/m²";"PROGRAMADO";""
"LOTE-031";"Semana 16";"Dias 91 a 93 (Seg-Qua)";"Etapa 3 (Sanitários e Copa - Paredes)";"Vagão 11: Revestimento Cerâmico WCs";"Assentamento de Cerâmica Esmaltada nas Paredes dos Sanitários";"110 m² cerâmica esmaltada até o teto com rejunte resinado";"3";"3 Ladrilhistas + 3 Ajudantes (SUB-05)";"6";"Cortadora manual + Nível a laser + Desempenadeira denteada";"Revestimento cerâmico esmaltado + Argamassa AC-II + Rejunte";"0,75 HH/m²";"PROGRAMADO";""
"LOTE-032";"Semana 16";"Dias 94 a 96 (Qui-Sáb)";"Todos os Setores (Rejunte e Rodapés)";"Vagão 11: Rejunte Geral e Rodapés";"Rejuntamento Resinado Geral e Fixação de Rodapés em Porcelanato";"290 m² rejunte epóxi/resinado + 120 m rodapés de 10cm";"3";"3 Ladrilhistas + 3 Ajudantes (SUB-05)";"6";"Espátulas emborrachadas + Esponjas de limpeza especial";"Rejunte resinado impermeável + Rodapés cortados e polidos";"0,20 HH/m²";"PROGRAMADO";""
"LOTE-033";"Semana 17";"Dias 97 a 99 (Seg-Qua)";"Etapa 1 e 2 (Caixilharia Externa)";"Vagão 12: Esquadrias de Alumínio";"Instalação de Janelas de Alumínio Linha Suprema e Vidros Temperados";"22 m² janelas de correr com vidros acústicos 8mm e contra-marcos";"3";"2 Montadores de Esquadrias + 2 Ajudantes";"4";"Ventosas duplas de sucção + Parafusadeiras a bateria";"Esquadrias linha Suprema anodizada preta + Selante PU-40";"0,80 HH/m²";"PROGRAMADO";""
"LOTE-034";"Semana 17";"Dias 100 a 102 (Qui-Sáb)";"Etapa 3 e Fachadas (Portas e Vidros)";"Vagão 12: Esquadrias de Alumínio & Portas";"Fixação de Portas de Alumínio, Vidros Fixos e Vedações PU";"20 m² portas de alumínio + vedações perimetrais com selante";"3";"2 Montadores de Esquadrias + 2 Ajudantes";"4";"Pistolas aplicadoras de selante PU + Nível a laser";"Portas completas com fechaduras lafon + Selante PU-40";"0,80 HH/m²";"PROGRAMADO";""
"LOTE-035";"Semana 18";"Dias 103 a 105 (Seg-Qua)";"Todos os Setores (Tubulações HVAC)";"Vagão 13: Climatização & Redes Frigorígenas";"Instalação de Redes Frigorígenas de Cobre Isoladas e Drenos";"120 m tubulação de cobre com isolamento elastomérico + drenos PVC";"3";"2 Técnicos de Refrigeração HVAC + 2 Ajudantes (SUB-08)";"4";"Conjunto de solda oxiacetilênica + Curvador de tubos";"Tubos de cobre classe A + Isolamento Armaflex + Solda prata";"0,65 HH/m";"PROGRAMADO";""
"LOTE-036";"Semana 18";"Dias 106 a 108 (Qui-Sáb)";"Todos os Setores (Pressurização e Vácuo HVAC)";"Vagão 13: Teste de Estanqueidade Redes HVAC";"Pressurização com Nitrogênio e Teste de Vácuo em Linhas VRF";"Vácuo em 8 circuitos frigorígenos atingindo 500 microns";"3";"2 Técnicos de Refrigeração HVAC + 2 Ajudantes (SUB-08)";"4";"Bomba de vácuo 12 CFM + Vacuômetro digital + Manifold";"Gás Nitrogênio seco (N2) + Válvulas de serviço";"1,50 HH/circuito";"PROGRAMADO";""
"LOTE-037";"Semana 19";"Dias 109 a 111 (Seg-Qua)";"Etapa 1 e 2 (Cabeamento Elétrico)";"Vagão 14: Cabos Elétricos & Telecom";"Enfiamento de Cabos de Força, Iluminação e Cabling Cat.6";"1.200 m cabos elétricos antichama 2,5/4/6mm² + cabos Cat.6";"3";"2 Eletricistas Instaladores + 2 Ajudantes (SUB-03)";"4";"Passa-fios de aço + Decapadores automáticos e multímetro";"Cabos flexíveis antichama 750V + Cabo UTP Cat.6 Furukawa";"0,08 HH/m";"PROGRAMADO";""
"LOTE-038";"Semana 19";"Dias 112 a 114 (Qui-Sáb)";"Todos os Setores (Quadros de Distribuição)";"Vagão 14: Montagem de Quadros QGBT e QD";"Montagem, Barramentos e Identificação de Circuitos nos Quadros";"1 QGBT geral + 3 Quadros de Distribuição de Circuitos com DR";"3";"2 Eletricistas Instaladores + 2 Ajudantes (SUB-03)";"4";"Alicate prensa-terminais hidráulico + Rotulador eletrônico";"Disjuntores termomagnéticos Schneider + DPS classe II + DR";"4,50 HH/quadro";"PROGRAMADO";""
"LOTE-039";"Semana 20";"Dias 115 a 117 (Seg-Qua)";"Etapa 3 (Sanitários e Copa)";"Vagão 15: Louças & Metais Sanitários";"Instalação de Bacias Acopladas, Cubas e Torneiras Temporizadas";"14 bacias sanitárias Deca + 8 lavatórios de bancada + 12 torneiras";"3";"2 Encanadores Oficiais + 2 Ajudantes (SUB-04)";"4";"Chaves de lavatório + Nível bolha de precisão";"Bacias Deca Vogue + Vedações de cera + Torneiras Docol antivandalismo";"1,20 HH/unid";"PROGRAMADO";""
"LOTE-040";"Semana 20";"Dias 118 a 120 (Qui-Sáb)";"Todos os Setores (Luminárias LED)";"Vagão 14: Luminárias LED & Acabamentos Elétricos";"Instalação de Luminárias Painel LED 40W, Interruptores e Tomadas";"32 painéis LED embutir + 60 tomadas 2P+T 10A/20A com placas";"3";"2 Eletricistas Instaladores + 2 Ajudantes (SUB-03)";"4";"Escadas de fibra de vidro isoladas + Chaves isoladas 1000V";"Painéis LED 40W 6500K + Módulos Pial Legrand brancos";"0,65 HH/unid";"PROGRAMADO";""
"LOTE-041";"Semana 21";"Dias 121 a 123 (Seg-Qua)";"Etapa 1 e 2 (Paredes Internas)";"Vagão 16: Pintura Acrílica";"Emassamento com Massa Corrida Acrílica e Lixamento Mecanizado";"270 m² aplicação de duas demãos de massa acrílica lixada";"3";"4 Pintores Oficiais + 2 Ajudantes (SUB-06)";"6";"Lixadeiras orbitais elétricas acopladas a aspirador industrial";"Massa corrida acrílica Suvinil + Selador acrílico primer";"0,25 HH/m²";"PROGRAMADO";""
"LOTE-042";"Semana 21";"Dias 124 a 126 (Qui-Sáb)";"Etapa 3 e Fachadas Externas";"Vagão 16: Pintura Acrílica";"Emassamento e Selador em Fachadas e Setor 3 [Esteira Move]";"270 m² aplicação de primer selador e massa acrílica";"3";"4 Pintores Oficiais + 2 Ajudantes (SUB-06)";"6";"Andaime fachadeiro NR-18 + Lixadeiras de haste girafa";"Selador acrílico pigmentado + Fitas crepe especiais";"0,25 HH/m²";"PROGRAMADO";""
"LOTE-043";"Semana 22";"Dias 127 a 129 (Seg-Qua)";"Toda a Edificação (Demãos Finais Pintura)";"Vagão 16: Pintura Acrílica Final";"Pintura Látex Acrílica Fosca Lavável em Duas Demãos de Acabamento";"540 m² duas demãos de tinta látex acrílica fosca acetinada";"3";"4 Pintores Oficiais + 2 Ajudantes (SUB-06)";"6";"Máquina de pintura Airless de alta pressão + Rolos microfibra";"Tinta acrílica Suvinil Toque de Seda + Plásticos para isolamento";"0,20 HH/m²";"PROGRAMADO";""
"LOTE-044";"Semana 22";"Dias 130 a 132 (Qui-Sáb)";"Todos os Setores (Climatização Startup)";"Vagão 13: Instalação Evaporadoras & Startup";"Instalação de Evaporadoras Cassete, Carga de Gás R-410A e Startup";"8 evaporadoras Cassete conectadas e 2 condensadoras ligadas";"3";"2 Técnicos de Refrigeração HVAC + 2 Ajudantes (SUB-08)";"4";"Balança digital de carga de fluido + Termômetro de contato";"Aparelhos Splits Inverter 36.000 BTU + Gás refrigerante R-410A";"3,00 HH/unid";"PROGRAMADO";""
"LOTE-045";"Semana 23";"Dias 133 a 135 (Seg-Qua)";"Edifício Administrativo Turnkey";"Vagão 17: Comissionamento Integrado & Testes";"Comissionamento Elétrico sob Carga, Termografia e Equilíbrio HVAC";"Laudo termográfico de quadros + Laudo de vazão e temperatura HVAC";"3";"1 Engenheiro Residente + 2 Eletricistas + 1 Técnico HVAC";"4";"Câmera termográfica Fluke + Anemômetro de hélice digital";"Etiquetas de calibração + Formulários técnicos DataBook";"2,00 HH/sistema";"PROGRAMADO";""
"LOTE-046";"Semana 23";"Dias 136 a 138 (Qui-Sáb)";"Edifício Administrativo Turnkey";"Vagão 18: Limpeza Fina Pós-Obra & Entrega";"Limpeza Química Pós-Obra Especializada e Desmobilização de Canteiro";"381 m² área interna com pisos encerados, vidros limpos e canteiro NR-18 desmobilizado";"3";"1 Mestre de Obras + 4 Auxiliares de Limpeza Especializada";"5";"Enceradeira industrial + Lavadora de alta pressão + Caminhão Munck";"Removedores pós-obra de resíduos + Cera impermeabilizante";"0,12 HH/m²";"PROGRAMADO";""
"LOTE-047";"Semana 24";"Dias 139 a 141 (Seg-Qua)";"Edifício Administrativo Turnkey";"Vagão 17: Testes Integrados sob Carga";"Vistoria e Testes de Carga Elétrica, Automação e Pressão Hidráulica Final";"100% circuitos testados sob carga nominal + 16 pontos de água/esgoto aferidos";"3";"1 Engenheiro Residente + 2 Eletricistas + 1 Encanador + 2 Serventes";"6";"Câmera termográfica Fluke + Multímetro digital + Manômetros calibrados";"Relatórios técnicos de comissionamento + Plugs e fusíveis de reserva";"1,00 HH/teste";"PROGRAMADO";""
"LOTE-048";"Semana 24";"Dias 142 a 144 (Qui-Sáb)";"Edifício Administrativo Turnkey";"Vagão 17: As-Built & DataBook";"Consolidação de Desenhos As-Built, Manuais de Operação e Termos de Garantia";"DataBook completo (3 pastas físicas + pen-drive digital) com pranchas as-built";"3";"1 Engenheiro Residente + 1 Técnico de Edificações + 2 Apoio Administrativo";"4";"Plotter + Scanner profissional + Estação CAD";"Pastas técnicas de arquivo + Mídias digitais criptografadas";"0,50 HH/documento";"PROGRAMADO";""
"LOTE-049";"Semana 25";"Dias 145 a 147 (Seg-Qua)";"Edifício Administrativo Turnkey";"Vagão 17: Treinamento Operacional";"Treinamento Técnico Operacional da Equipe de Facilties e Manutenção do Terminal";"16 horas de capacitação presencial com entrega de certificados operacionais";"3";"1 Engenheiro Residente + 1 Técnico HVAC + 1 Eletricista Instalador";"3";"Projetor multimídia + Painel simulador didático";"Apostilas operacionais plastificadas + Fichas de inspeção preventiva";"1,50 HH/módulo";"PROGRAMADO";""
