LOCAL_PAVIMENTO;SEQUENCIA;VAGAO;ATIVIDADE;EQUIPE_RESPONSAVEL;RITMO_DIAS_POR_LOCAL;DATA_INICIO;DATA_FIM
Zona 01 - Recepção/Diretoria;50;13. Acabamentos Elétr./Hidr.;Montagem de Quadros QGBT e QD;SUB-03 Elétrica e Lógica;3;08/02/2027;10/02/2027
Zona 02 - Salas Técnicas/CPD;51;13. Acabamentos Elétr./Hidr.;Montagem de Quadros QGBT e QD;SUB-03 Elétrica e Lógica;3;08/02/2027;10/02/2027
Zona 03 - Sanitários e Apoio;52;13. Acabamentos Elétr./Hidr.;Montagem de Quadros QGBT e QD;SUB-03 Elétrica e Lógica;3;08/02/2027;10/02/2027
Zona 03 - Sanitários e Apoio;53;00. Outros Serviços;Louças & Metais Sanitários;SUB-04 Hidráulica e Sanitários;3;11/02/2027;13/02/2027
Zona 01 - Recepção/Diretoria;54;13. Acabamentos Elétr./Hidr.;Luminárias LED & Acabamentos Elétricos;SUB-03 Elétrica e Lógica;3;15/02/2027;17/02/2027
Zona 02 - Salas Técnicas/CPD;55;13. Acabamentos Elétr./Hidr.;Luminárias LED & Acabamentos Elétricos;SUB-03 Elétrica e Lógica;3;15/02/2027;17/02/2027
Zona 03 - Sanitários e Apoio;56;13. Acabamentos Elétr./Hidr.;Luminárias LED & Acabamentos Elétricos;SUB-03 Elétrica e Lógica;3;15/02/2027;17/02/2027
Zona 01 - Recepção/Diretoria;57;00. Outros Serviços;Pintura Acrílica;SUB-06 Pintura;3;18/02/2027;20/02/2027
Zona 03 - Sanitários e Apoio;58;00. Outros Serviços;Pintura Acrílica;SUB-06 Pintura;3;22/02/2027;24/02/2027
Zona 01 - Recepção/Diretoria;59;14. Pintura Acrílica Final;Pintura Acrílica Final;SUB-06 Pintura;3;25/02/2027;27/02/2027
Zona 02 - Salas Técnicas/CPD;60;14. Pintura Acrílica Final;Pintura Acrílica Final;SUB-06 Pintura;3;25/02/2027;27/02/2027
Zona 03 - Sanitários e Apoio;61;14. Pintura Acrílica Final;Pintura Acrílica Final;SUB-06 Pintura;3;25/02/2027;27/02/2027
Zona 01 - Recepção/Diretoria;62;12. Climatização HVAC;Instalação Evaporadoras & Startup;SUB-08 Climatização e HVAC;3;01/03/2027;03/03/2027
Zona 02 - Salas Técnicas/CPD;63;12. Climatização HVAC;Instalação Evaporadoras & Startup;SUB-08 Climatização e HVAC;3;01/03/2027;03/03/2027
Zona 03 - Sanitários e Apoio;64;12. Climatização HVAC;Instalação Evaporadoras & Startup;SUB-08 Climatização e HVAC;3;01/03/2027;03/03/2027
Zona 01 - Recepção/Diretoria;65;12. Climatização HVAC;Comissionamento Integrado & Testes;SUB-08 Climatização e HVAC;3;04/03/2027;06/03/2027
Zona 02 - Salas Técnicas/CPD;66;12. Climatização HVAC;Comissionamento Integrado & Testes;SUB-08 Climatização e HVAC;3;04/03/2027;06/03/2027
Zona 03 - Sanitários e Apoio;67;12. Climatização HVAC;Comissionamento Integrado & Testes;SUB-08 Climatização e HVAC;3;04/03/2027;06/03/2027
Zona 04 - Cobertura e Platibanda;68;12. Climatização HVAC;Comissionamento Integrado & Testes;SUB-08 Climatização e HVAC;3;04/03/2027;06/03/2027
Zona 01 - Recepção/Diretoria;69;15. Comissionamento & Entrega;Limpeza Fina Pós-Obra & Entrega;Equipe Própria / Turnkey;3;08/03/2027;10/03/2027
Zona 02 - Salas Técnicas/CPD;70;15. Comissionamento & Entrega;Limpeza Fina Pós-Obra & Entrega;Equipe Própria / Turnkey;3;08/03/2027;10/03/2027
Zona 03 - Sanitários e Apoio;71;15. Comissionamento & Entrega;Limpeza Fina Pós-Obra & Entrega;Equipe Própria / Turnkey;3;08/03/2027;10/03/2027
Zona 04 - Cobertura e Platibanda;72;15. Comissionamento & Entrega;Limpeza Fina Pós-Obra & Entrega;Equipe Própria / Turnkey;3;08/03/2027;10/03/2027
Zona 01 - Recepção/Diretoria;73;15. Comissionamento & Entrega;Testes Integrados sob Carga;SUB-03 Elétrica e Lógica;3;11/03/2027;13/03/2027
Zona 02 - Salas Técnicas/CPD;74;15. Comissionamento & Entrega;Testes Integrados sob Carga;SUB-03 Elétrica e Lógica;3;11/03/2027;13/03/2027
Zona 03 - Sanitários e Apoio;75;15. Comissionamento & Entrega;Testes Integrados sob Carga;SUB-03 Elétrica e Lógica;3;11/03/2027;13/03/2027
Zona 04 - Cobertura e Platibanda;76;15. Comissionamento & Entrega;Testes Integrados sob Carga;SUB-03 Elétrica e Lógica;3;11/03/2027;13/03/2027
Zona 01 - Recepção/Diretoria;77;15. Comissionamento & Entrega;As-Built & DataBook;Equipe Própria / Turnkey;3;15/03/2027;17/03/2027
Zona 02 - Salas Técnicas/CPD;78;15. Comissionamento & Entrega;As-Built & DataBook;Equipe Própria / Turnkey;3;15/03/2027;17/03/2027
Zona 03 - Sanitários e Apoio;79;15. Comissionamento & Entrega;As-Built & DataBook;Equipe Própria / Turnkey;3;15/03/2027;17/03/2027
Zona 04 - Cobertura e Platibanda;80;15. Comissionamento & Entrega;As-Built & DataBook;Equipe Própria / Turnkey;3;15/03/2027;17/03/2027
Zona 01 - Recepção/Diretoria;81;15. Comissionamento & Entrega;Treinamento Operacional;SUB-08 Climatização e HVAC;3;18/03/2027;20/03/2027
Zona 02 - Salas Técnicas/CPD;82;15. Comissionamento & Entrega;Treinamento Operacional;SUB-08 Climatização e HVAC;3;18/03/2027;20/03/2027
Zona 03 - Sanitários e Apoio;83;15. Comissionamento & Entrega;Treinamento Operacional;SUB-08 Climatização e HVAC;3;18/03/2027;20/03/2027
Zona 04 - Cobertura e Platibanda;84;15. Comissionamento & Entrega;Treinamento Operacional;SUB-08 Climatização e HVAC;3;18/03/2027;20/03/2027
Zona 01 - Recepção/Diretoria;85;15. Comissionamento & Entrega;Auditoria de Encerramento;Equipe Própria / Turnkey;3;22/03/2027;24/03/2027
Zona 02 - Salas Técnicas/CPD;86;15. Comissionamento & Entrega;Auditoria de Encerramento;Equipe Própria / Turnkey;3;22/03/2027;24/03/2027
Zona 03 - Sanitários e Apoio;87;15. Comissionamento & Entrega;Auditoria de Encerramento;Equipe Própria / Turnkey;3;22/03/2027;24/03/2027
Zona 04 - Cobertura e Platibanda;88;15. Comissionamento & Entrega;Auditoria de Encerramento;Equipe Própria / Turnkey;3;22/03/2027;24/03/2027
Zona 01 - Recepção/Diretoria;89;15. Comissionamento & Entrega;Vistoria Provisória;Equipe Própria / Turnkey;3;25/03/2027;27/03/2027
Zona 02 - Salas Técnicas/CPD;90;15. Comissionamento & Entrega;Vistoria Provisória;Equipe Própria / Turnkey;3;25/03/2027;27/03/2027
Zona 03 - Sanitários e Apoio;91;15. Comissionamento & Entrega;Vistoria Provisória;Equipe Própria / Turnkey;3;25/03/2027;27/03/2027
Zona 04 - Cobertura e Platibanda;92;15. Comissionamento & Entrega;Vistoria Provisória;Equipe Própria / Turnkey;3;25/03/2027;27/03/2027
Zona 01 - Recepção/Diretoria;93;15. Comissionamento & Entrega;Recebimento Definitivo;Equipe Própria / Turnkey;3;29/03/2027;31/03/2027
Zona 02 - Salas Técnicas/CPD;94;15. Comissionamento & Entrega;Recebimento Definitivo;Equipe Própria / Turnkey;3;29/03/2027;31/03/2027
Zona 03 - Sanitários e Apoio;95;15. Comissionamento & Entrega;Recebimento Definitivo;Equipe Própria / Turnkey;3;29/03/2027;31/03/2027
Zona 04 - Cobertura e Platibanda;96;15. Comissionamento & Entrega;Recebimento Definitivo;Equipe Própria / Turnkey;3;29/03/2027;31/03/2027
