COD_LOTE;DATA_INICIO;DATA_FIM;ETAPA_ZONA;VAGAO_ESTEIRA;SERVICO_LOTE;DURACAO_DIAS;EQUIPE_PREVISTA;HEADCOUNT_PREVISTO;STATUS_EXECUCAO;RDO_VINCULADO
A14;28/01/2027;08/02/2027;Zona 01 a 03 (Elétrica Embutida);Vagão 08: Instalações Embutidas;Abertura de Rasgos, Eletrodutos PVC, Caixas 4x2 e Quadros QGBT/QDF;10;2 Eletricistas Oficiais + 2 Ajudantes + 2 Serventes (SUB-03);6;PROGRAMADO;
A15;28/01/2027;08/02/2027;Zona 03 - Sanitários e Apoio;Vagão 08: Instalações Embutidas;Tubulações Soldáveis de Água Fria, Esgoto Primário/Secundário e Pluvial;10;2 Encanadores Oficiais + 2 Ajudantes + 2 Serventes (SUB-04);6;PROGRAMADO;
A16;09/02/2027;11/02/2027;Zona 03 - Sanitários e Apoio;Vagão 08: Instalações Embutidas;Teste Hidrostático Pressurizado 72h em Redes de Água e Esgoto (Portão 3);3;1 Encanador Oficial + 1 TST + 2 Serventes;4;PROGRAMADO;
A17;12/02/2027;27/02/2027;Zona 01 a 03 (Revestimento Interno);Vagão 09: Reboco Paulista;Chapisco Rolado com Resina e Emboço/Reboco Paulista Projetado Mecanicamente;14;4 Pedreiros + 4 Serventes (SUB-02);8;PROGRAMADO;
A18;01/03/2027;03/03/2027;Zona 03 - Sanitários e Apoio;Vagão 10: Pisos & Porcelanato;Impermeabilização com Membrana Polimérica Flexível em Sanitários e Copa;3;2 Impermeabilizadores + 2 Serventes (SUB-01);4;PROGRAMADO;
A19;01/03/2027;06/03/2027;Zona 01 a 03 (Contrapiso Térreo);Vagão 10: Pisos & Porcelanato;Execução de Contrapiso Sarrafeado e Regularizado com Nível Laser e=3cm;6;3 Pedreiros + 4 Serventes (SUB-02);7;PROGRAMADO;
A20;01/03/2027;11/03/2027;Zona 01 a 03 (Infraestrutura HVAC);Vagão 12: Climatização HVAC;Infraestrutura de Tubulações Frigorígenas de Cobre, Isolamento e Drenos;10;2 Mecânicos de Refrigeração + 2 Ajudantes (SUB-08);4;PROGRAMADO;
A21;01/03/2027;09/03/2027;Zona 01 a 04 (Vedações Externas);Vagão 11: Esquadrias de Alumínio;Fixação de Caixilhos, Janelas Linha Suprema, Vidros Temperados e Portas;8;2 Montadores de Esquadrias + 2 Ajudantes (SUB-07);4;PROGRAMADO;
A22;08/03/2027;23/03/2027;Zona 01 a 03 (Pisos Nobres);Vagão 10: Pisos & Porcelanato;Assentamento de Porcelanato Retificado 60x60cm e Azulejos nas Paredes dos WCs;14;4 Ladrilhistas Especialistas + 4 Ajudantes (SUB-05);8;PROGRAMADO;
A23;01/03/2027;11/03/2027;Zona 01 a 03 (Cabeamento);Vagão 13: Acabamentos Elétr./Hidr.;Enfiamento de Cabos Elétricos Antichama 750V e Cabeamento Lógica Cat.6;10;2 Eletricistas Oficiais + 2 Cabistas de Rede (SUB-03);4;PROGRAMADO;
A24;24/03/2027;27/03/2027;Zona 01 a 03 (Acabamento Pisos);Vagão 10: Pisos & Porcelanato;Rejuntamento Resinado Geral, Rodapés em Porcelanato e Forração de Proteção;4;3 Ladrilhistas + 3 Ajudantes (SUB-05);6;PROGRAMADO;
A25;29/03/2027;02/04/2027;Zona 01 a 03 (Paredes e Forros);Vagão 14: Pintura Acrílica Final;Selador Primer, Emassamento Acrílico com Lixamento e 1ª Demão (Portão 4);5;4 Pintores Oficiais + 2 Ajudantes (SUB-06);6;PROGRAMADO;
A26;03/04/2027;09/04/2027;Zona 01 a 04 (Equipamentos Nobres);Vagão 12: Climatização HVAC;Instalação de Evaporadoras Cassete, Condensadoras, Vácuo e Carga de Gás;6;2 Técnicos Especialistas em Refrigeração + 2 Ajudantes (SUB-08);4;PROGRAMADO;
A27;03/04/2027;09/04/2027;Zona 03 - Sanitários e Apoio;Vagão 13: Acabamentos Elétr./Hidr.;Instalação de Louças Sanitárias Deca, Cubas de Embutir e Metais Nobres Docol;6;2 Encanadores Oficiais + 2 Ajudantes (SUB-04);4;PROGRAMADO;
A28;03/04/2027;08/04/2027;Zona 01 a 03 (Dispositivos Finais);Vagão 13: Acabamentos Elétr./Hidr.;Fixação de Luminárias Painel LED 40W, Espelhos, Tomadas e Interruptores;5;2 Eletricistas Oficiais + 2 Ajudantes (SUB-03);4;PROGRAMADO;
A29;10/04/2027;17/04/2027;Zona 01 a 03 (Acabamento Fino);Vagão 14: Pintura Acrílica Final;Demãos Finais de Pintura Látex Acrílica Fosca Lavável e Retoques Finais;7;4 Pintores Oficiais + 2 Ajudantes (SUB-06);6;PROGRAMADO;
A30;19/04/2027;24/04/2027;Edifício Administrativo Turnkey;Vagão 15: Comissionamento & Entrega;Comissionamento Integrado sob Carga, Termografia Fluke e Testes Globais;6;Engenheiro Residente + Eletrotécnico + Técnico HVAC + TST;4;PROGRAMADO;
A31;26/04/2027;30/04/2027;Edifício Administrativo Turnkey;Vagão 15: Comissionamento & Entrega;Limpeza Química Pós-Obra, As-Built, Desmobilização e Entrega de Chaves Turnkey;5;Diretoria Técnica + Engenheiro Residente + Equipe Limpeza Fina;6;PROGRAMADO;
