Código EAP;Item / Descrição;Disciplina;Qtd Projeto;Unidade;Preço Unitário (R$);Preço Total Turnkey (R$);% Mês 1;R$ Mês 1;% Mês 2;R$ Mês 2;% Mês 3;R$ Mês 3;% Mês 4;R$ Mês 4;% Mês 5;R$ Mês 5;% Mês 6;R$ Mês 6
1.1.8;Concreto Usinado fck 30 MPa para Vigas Baldrames VB1-VB19 (25x40cm - 140,44m);Infraestrutura;14.04;m³;R$ 903,05;R$ 12.678,82;1.0;12678.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.9;Fôrma Compensado Resinado 17mm para Vigas Baldrames (140,44m);Infraestrutura;112.35;m²;R$ 146,75;R$ 16.487,36;1.0;16487.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.10;Armadura CA-50 Ø8,0mm (Armadura das 32 Sapatas Isoladas);Infraestrutura;256.0;kg;R$ 15,83;R$ 4.052,48;1.0;4052.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.11;Armadura CA-50 Ø6,3mm / Ø12,5mm (Arranques dos Pilares P1-P24);Infraestrutura;145.7;kg;R$ 10,58;R$ 1.541,51;1.0;1541.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.12;Armadura CA-50 Vigas Baldrames VB1-VB19 (EGS-053: 694,8kg + EGS-054: 382,5kg);Infraestrutura;1077.3;kg;R$ 13,26;R$ 14.285,00;1.0;14285.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.13;Impermeabilização Tinta Asfáltica (Baldrames e Sapatas);Infraestrutura;183.36;m²;R$ 61,04;R$ 11.192,29;1.0;11192.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.14;Reaterro Compactado de Cavas e Valas c/ Maço/Sapo Líquido;Infraestrutura;31.17;m³;R$ 46,81;R$ 1.459,07;1.0;1459.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.15;Bota-fora e Carga de Terra c/ Empolamento 1,25 Líquido;Infraestrutura;20.1;m³;R$ 23,53;R$ 472,95;1.0;472.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2.1;Concreto Usinado fck 30 MPa para Pilares P1 a P24 (h=2,98m);Supraestrutura;6.44;m³;R$ 830,15;R$ 5.346,17;0.0;0.0;1.0;5346.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2.2;Fôrma Compensado Resinado 17mm para Pilares P1 a P24 (4 faces);Supraestrutura;85.82;m²;R$ 176,13;R$ 15.115,48;0.0;0.0;1.0;15115.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2.3;Concreto Usinado fck 30 MPa para Vigas Superiores e Cobertura (V101 a V115);Supraestrutura;17.38;m³;R$ 864,74;R$ 15.029,18;0.0;0.0;1.0;15029.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2.4;Fôrma Compensado Resinado 17mm para Vigas Superiores (fundo e laterais líquidas);Supraestrutura;208.62;m²;R$ 146,75;R$ 30.614,99;0.0;0.0;1.0;30614.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2.5;Concreto Usinado fck 30 MPa para Capa de Laje Treliçada e=5cm;Supraestrutura;13.17;m³;R$ 864,74;R$ 11.388,63;0.0;0.0;1.0;11388.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2.6;Fôrma Compensado Resinado 17mm para Lajes (Face Inferior / Fundo);Supraestrutura;263.48;m²;R$ 124,88;R$ 32.903,38;0.0;0.0;1.0;32903.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2.7;Escoramento/Cimbramento Metálico de Lajes e Vigas;Supraestrutura;888.78;m²·m;R$ 23,53;R$ 20.912,99;0.0;0.0;1.0;20912.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2.8;Vigotas Treliçadas TR 16745 para Lajes H12;Supraestrutura;968.8;m;R$ 33,70;R$ 32.648,56;0.0;0.0;1.0;32648.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2.9;Enchimento com Blocos de EPS B16/30/100 para Lajes H12;Supraestrutura;1148.0;unid;R$ 0,13;R$ 149,24;0.0;0.0;1.0;149.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2.10;Armadura CA-50 Pilares e Vigas (EGS-060: 395,0kg + EGS-056/057: 1.485,1kg);Supraestrutura;1880.1;kg;R$ 12,83;R$ 24.121,68;0.0;0.0;1.0;24121.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2.11;Armadura CA-60 para Lajes Treliçadas H12 (Prancha EGS-059);Supraestrutura;999.8;kg;R$ 12,04;R$ 12.037,59;0.0;0.0;1.0;12037.59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.1.1.1;Bloco Concreto Inteiro B144 (14x19x39cm);Arquitetura;12733.0;unid;R$ 7,35;R$ 93.587,55;0.0;0.0;0.0;0.0;1.0;93587.55;0.0;0.0;0.0;0.0;0.0;0.0
2.1.1.2;Meio Bloco Concreto B142 (14x19x19cm);Arquitetura;508.0;unid;R$ 4,90;R$ 2.489,20;0.0;0.0;0.0;0.0;1.0;2489.2;0.0;0.0;0.0;0.0;0.0;0.0
2.1.1.3;Bloco Canaleta Concreto C144 (14x19x39cm);Arquitetura;281.0;unid;R$ 9,16;R$ 2.573,96;0.0;0.0;0.0;0.0;1.0;2573.96;0.0;0.0;0.0;0.0;0.0;0.0
2.1.1.4;Graute Fino Industrializado p/ Canaletas;Arquitetura;1.42;m³;R$ 1.682,40;R$ 2.389,01;0.0;0.0;0.0;0.0;1.0;2389.01;0.0;0.0;0.0;0.0;0.0;0.0
2.1.1.5;Barra de Aço CA-50 Ø8,0mm p/ Vergas/Contravergas;Arquitetura;224.8;m;R$ 3,34;R$ 750,83;0.0;0.0;0.0;0.0;1.0;750.83;0.0;0.0;0.0;0.0;0.0;0.0
2.1.1.6;Cimento Portland CP II-E-32 (Argamassa Assentamento);Arquitetura;5519.0;kg;R$ 0,89;R$ 4.911,91;0.0;0.0;0.0;0.0;1.0;4911.91;0.0;0.0;0.0;0.0;0.0;0.0
2.1.1.7;Cal Hidratada CH-I (Argamassa Assentamento);Arquitetura;1910.0;kg;R$ 1,46;R$ 2.788,60;0.0;0.0;0.0;0.0;1.0;2788.6;0.0;0.0;0.0;0.0;0.0;0.0
2.1.1.8;Areia Média Lavada (Argamassa Assentamento);Arquitetura;23.35;m³;R$ 117,00;R$ 2.731,95;0.0;0.0;0.0;0.0;1.0;2731.95;0.0;0.0;0.0;0.0;0.0;0.0
2.1.1.9;Tela Metálica Galvanizada 15x50cm Amarração Pilar;Arquitetura;336.0;unid;R$ 5,72;R$ 1.921,92;0.0;0.0;0.0;0.0;1.0;1921.92;0.0;0.0;0.0;0.0;0.0;0.0
2.1.1.10;Pinos de Aço c/ Arruela p/ Finca-Pinos à Pólvora;Arquitetura;706.0;unid;R$ 0,83;R$ 585,98;0.0;0.0;0.0;0.0;1.0;585.98;0.0;0.0;0.0;0.0;0.0;0.0
2.1.1.11;Encunhamento Flexível no Topo da Parede (sob vigas);Arquitetura;385.0;m;R$ 16,28;R$ 6.267,80;0.0;0.0;0.0;0.0;1.0;6267.8;0.0;0.0;0.0;0.0;0.0;0.0
2.1.2;Chapisco Traço 1:3 e=5mm em Paredes;Arquitetura;2122.88;m²;R$ 7,87;R$ 16.707,07;0.0;0.0;0.0;0.0;0.5;8353.54;0.5;8353.53;0.0;0.0;0.0;0.0
2.1.3;Emboço/Reboco Paulista e=20mm em Paredes;Arquitetura;2122.88;m²;R$ 55,87;R$ 118.605,31;0.0;0.0;0.0;0.0;0.0;0.0;1.0;118605.31;0.0;0.0;0.0;0.0
2.1.4;Contrapiso de Regularização e=3cm;Arquitetura;368.4;m²;R$ 43,89;R$ 16.169,08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16169.08;0.0;0.0
2.1.5.1;Piso Porcelanato 60x60cm Retificado;Arquitetura;368.4;m²;R$ 157,14;R$ 57.890,38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57890.38;0.0;0.0
2.1.5.2;Argamassa Colante AC-III p/ Porcelanato (Dupla Colagem);Arquitetura;3684.0;kg;R$ 2,81;R$ 10.352,04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;10352.04;0.0;0.0
2.1.5.3;Rejunte Flexível p/ Porcelanato Junta 2mm;Arquitetura;92.1;kg;R$ 5,37;R$ 494,58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;494.58;0.0;0.0
2.1.5.4;Clips Niveladores Plásticos p/ Porcelanato 60x60cm;Arquitetura;4096.0;unid;R$ 0,45;R$ 1.843,20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1843.2;0.0;0.0
2.1.5.5;Cunhas Niveladoras Plásticas Reutilizáveis (Giro 30%);Arquitetura;1229.0;unid;R$ 1,08;R$ 1.327,32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1327.32;0.0;0.0
2.1.5.6;Lona Plástica Preta p/ Proteção de Pisos Assentados;Arquitetura;368.4;m²;R$ 2,84;R$ 1.046,26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1046.26;0.0;0.0
2.1.6.1;Revestimento Cerâmico h=1,80m nos WCs (Eliane 45x45 Plus Gray);Arquitetura;84.2;m²;R$ 121,32;R$ 10.215,14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;10215.14;0.0;0.0
2.1.6.2;Argamassa Colante AC-II p/ Cerâmica Parede;Arquitetura;421.0;kg;R$ 1,70;R$ 715,70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;715.7;0.0;0.0
2.1.6.3;Rejunte Cerâmico Antimofo Junta 3mm;Arquitetura;25.3;kg;R$ 5,37;R$ 135,86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;135.86;0.0;0.0
2.1.6.4;Espaçadores / Cruzetas Plásticas 2mm e 3mm;Arquitetura;2715.0;unid;R$ 0,19;R$ 515,85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;515.85;0.0;0.0
2.1.7;Rodapé Porcelanato h=10cm;Arquitetura;384.2;m;R$ 36,24;R$ 13.923,41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;13923.41;0.0;0.0
2.1.8.1;Pintura Látex Acrílica 3 Demãos (Paredes + Tetos);Arquitetura;2491.28;m²;R$ 19,65;R$ 48.953,65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;48953.65
2.1.8.2;Selador Acrílico Base Água p/ Reboco Novo;Arquitetura;212.3;L;R$ 14,42;R$ 3.061,37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1530.68;0.5;1530.69
2.1.8.3;Lixa Grossa p/ Reboco (Grão 80/100);Arquitetura;106.0;unid;R$ 5,12;R$ 542,72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;271.36;0.5;271.36
2.1.8.4;Lixa Fina p/ Massa/Gesso (Grão 150/220);Arquitetura;249.0;unid;R$ 63,59;R$ 15.833,91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;15833.91
2.1.8.5;Fita Crepe 24mm x 50m p/ Pintura e Proteções;Arquitetura;604.0;m;R$ 0,57;R$ 344,28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;344.28
2.1.9.1;Esquadrias de Madeira/Alumínio (Portas P1-P5);Arquitetura;24.0;unid;R$ 1.749,80;R$ 41.995,20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;41995.2;0.0;0.0
2.1.9.2;"Dobradiças 3 ½"" x 3"" em Aço Inox (3 un/folha)";Arquitetura;78.0;unid;R$ 23,53;R$ 1.835,34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1835.34;0.0;0.0
2.1.9.3;Fechaduras Completas (Cilindro / Gorge / Tranqueta);Arquitetura;24.0;unid;R$ 82,66;R$ 1.983,84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1983.84;0.0;0.0
2.1.9.4;Batedores de Porta para Piso c/ Amortecedor Inox;Arquitetura;26.0;unid;R$ 27,98;R$ 727,48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;727.48;0.0;0.0
2.1.9.5;Espuma de Poliuretano Expansiva 750ml p/ Marcos;Arquitetura;9.6;unid;R$ 34,34;R$ 329,66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;329.66;0.0;0.0
2.1.9.6;Parafusos e Buchas Nylon S8 p/ Fixação Batentes;Arquitetura;192.0;unid;R$ 0,57;R$ 109,44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;109.44;0.0;0.0
2.1.9.7;Pregos sem Cabeça 12x12 p/ Alizares/Guarnições;Arquitetura;480.0;unid;R$ 0,10;R$ 48,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;48.0;0.0;0.0
2.1.9.8;Cola Branca PVA Madeira D3 (frascos 500g);Arquitetura;3.0;unid;R$ 18,44;R$ 55,32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;55.32;0.0;0.0
2.1.10.1;Esquadrias de Alumínio Vidro (Janelas J1-J4);Arquitetura;18.0;unid;R$ 467,79;R$ 8.420,22;0.0;0.0;0.0;0.0;1.0;8420.22;0.0;0.0;0.0;0.0;0.0;0.0
2.1.10.2;Selante PU 40 / Silicone Neutro 310ml p/ Caixilhos;Arquitetura;124.7;m;R$ 36,24;R$ 4.519,13;0.0;0.0;0.0;0.0;1.0;4519.13;0.0;0.0;0.0;0.0;0.0;0.0
2.1.11.1;Impermeabilização Polimérica Sanitários/Copa;Arquitetura;84.2;m²;R$ 66,64;R$ 5.611,09;0.0;0.0;0.0;0.0;1.0;5611.09;0.0;0.0;0.0;0.0;0.0;0.0
2.1.11.2;Tela de Poliéster / Véu de Reforço Impermeabilização;Arquitetura;92.6;m²;R$ 5,34;R$ 494,48;0.0;0.0;0.0;0.0;1.0;494.48;0.0;0.0;0.0;0.0;0.0;0.0
2.2.1.1;Telha Termoacústica Trapezoidal (Sandwich 30mm EPS);Cobertura;381.29;m²;R$ 286,91;R$ 109.395,91;0.0;0.0;0.0;0.0;1.0;109395.91;0.0;0.0;0.0;0.0;0.0;0.0
2.2.1.2;"Parafusos Autobrocantes 12x1"" c/ Arruela EPDM";Cobertura;1716.0;unid;R$ 1,08;R$ 1.853,28;0.0;0.0;0.0;0.0;1.0;1853.28;0.0;0.0;0.0;0.0;0.0;0.0
2.2.1.3;"Parafusos de Costura 10x3/4"" c/ Arruela EPDM";Cobertura;364.0;unid;R$ 0,83;R$ 302,12;0.0;0.0;0.0;0.0;1.0;302.12;0.0;0.0;0.0;0.0;0.0;0.0
2.2.1.4;Fita de Vedação Butílica Autoadesiva 15mm;Cobertura;122.0;m;R$ 4,83;R$ 589,26;0.0;0.0;0.0;0.0;1.0;589.26;0.0;0.0;0.0;0.0;0.0;0.0
2.2.2.1;Terças Metálicas Perfil U Enrijecido 100x40x2,25mm;Cobertura;156.0;m;R$ 15,46;R$ 2.411,76;0.0;0.0;0.0;0.0;1.0;2411.76;0.0;0.0;0.0;0.0;0.0;0.0
2.2.2.2;"Chumbadores Parabolts CBA 3/8"" x 3"" p/ Terças";Cobertura;60.0;unid;R$ 10,81;R$ 648,60;0.0;0.0;0.0;0.0;1.0;648.6;0.0;0.0;0.0;0.0;0.0;0.0
2.2.3;Muretas Escalonadas de Apoio no Entreforro (Bloco 9x19x39cm);Cobertura;45.24;m²;R$ 79,48;R$ 3.595,68;0.0;0.0;0.0;0.0;1.0;3595.68;0.0;0.0;0.0;0.0;0.0;0.0
2.2.4.1;Calha em Chapa Galvanizada nº 24 (Dev 80cm);Cobertura;52.0;m;R$ 33,95;R$ 1.765,40;0.0;0.0;0.0;0.0;1.0;1765.4;0.0;0.0;0.0;0.0;0.0;0.0
2.2.4.2;Rebites de Repuxo em Alumínio 4,0x10mm p/ Calhas/Rufos;Cobertura;440.0;unid;R$ 0,32;R$ 140,80;0.0;0.0;0.0;0.0;1.0;140.8;0.0;0.0;0.0;0.0;0.0;0.0
2.2.4.3;Selante PU 40 p/ Calafetação de Calhas e Rufos;Cobertura;6.0;unid;R$ 36,24;R$ 217,44;0.0;0.0;0.0;0.0;1.0;217.44;0.0;0.0;0.0;0.0;0.0;0.0
2.2.5;Rufo e Pingadeira Metálica de Platibanda (Dev 40cm);Cobertura;82.0;m;R$ 41,33;R$ 3.389,06;0.0;0.0;0.0;0.0;1.0;3389.06;0.0;0.0;0.0;0.0;0.0;0.0
2.2.6.1;Impermeabilização Manta Asfáltica 4mm em Calhas;Cobertura;62.0;m²;R$ 99,83;R$ 6.189,46;0.0;0.0;0.0;0.0;1.0;6189.46;0.0;0.0;0.0;0.0;0.0;0.0
2.2.6.2;Primer Asfáltico Base Solvente p/ Calhas;Cobertura;24.8;L;R$ 23,53;R$ 583,54;0.0;0.0;0.0;0.0;1.0;583.54;0.0;0.0;0.0;0.0;0.0;0.0
2.2.6.3;Gás GLP P-13 p/ Maçarico de Manta Asfáltica;Cobertura;1.24;unid;R$ 146,25;R$ 181,35;0.0;0.0;0.0;0.0;1.0;181.35;0.0;0.0;0.0;0.0;0.0;0.0
2.2.7;Ralo Hemisférico Tipo Abacaxi Inox Ø150mm para Calhas;Cobertura;8.0;unid;R$ 61,04;R$ 488,32;0.0;0.0;0.0;0.0;1.0;488.32;0.0;0.0;0.0;0.0;0.0;0.0
2.2.8;Alvenaria de Platibanda Bloco Concreto 14x19x39cm (h=0,39m);Cobertura;31.98;m²;R$ 92,58;R$ 2.960,71;0.0;0.0;0.0;0.0;1.0;2960.71;0.0;0.0;0.0;0.0;0.0;0.0
2.2.9;Chapisco e Emboço/Reboco e=20mm Face Interna da Platibanda;Cobertura;74.62;m²;R$ 55,87;R$ 4.169,02;0.0;0.0;0.0;0.0;1.0;4169.02;0.0;0.0;0.0;0.0;0.0;0.0
2.2.10;Pintura Acrílica Impermeável 3 Demãos Face Interna da Platibanda;Cobertura;74.62;m²;R$ 19,65;R$ 1.466,28;0.0;0.0;0.0;0.0;1.0;1466.28;0.0;0.0;0.0;0.0;0.0;0.0
3.1.1;Cabo Cobre Flexível 750V 2,5mm² (Iluminação/TUG);Elétrica;1850.0;m;R$ 7,36;R$ 13.616,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;13616.0;0.0;0.0
3.1.2;Cabo Cobre Flexível 750V 4,0mm² (Tomadas TUG/TUE);Elétrica;640.0;m;R$ 10,75;R$ 6.880,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6880.0;0.0;0.0
3.1.3;Cabo Cobre Flexível 750V 6,0mm² (Ar Condicionado);Elétrica;420.0;m;R$ 16,28;R$ 6.837,60;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6837.6;0.0;0.0
3.1.4;Cabo Cobre Sintenax 0,6/1kV 35mm² (Alimentador);Elétrica;120.0;m;R$ 87,11;R$ 10.453,20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;10453.2;0.0;0.0
3.1.5;"Eletroduto Rígido PVC Ø3/4"" (25mm) c/ Conexões";Elétrica;480.0;m;R$ 17,74;R$ 8.515,20;0.0;0.0;0.0;0.0;0.0;0.0;1.0;8515.2;0.0;0.0;0.0;0.0
3.1.6;"Eletroduto Rígido PVC Ø1"" (32mm) c/ Conexões";Elétrica;210.0;m;R$ 23,14;R$ 4.859,40;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4859.4;0.0;0.0;0.0;0.0
3.1.7;"Caixa de Embutir 4x2"" PVC Amarela para Parede";Elétrica;184.0;unid;R$ 4,07;R$ 748,88;0.0;0.0;0.0;0.0;0.0;0.0;1.0;748.88;0.0;0.0;0.0;0.0
3.1.8;"Caixa de Embutir 4x4"" PVC Amarela para Parede";Elétrica;24.0;unid;R$ 7,38;R$ 177,12;0.0;0.0;0.0;0.0;0.0;0.0;1.0;177.12;0.0;0.0;0.0;0.0
3.1.9;"Caixa Octogonal 3x3"" PVC para Teto";Elétrica;68.0;unid;R$ 5,72;R$ 388,96;0.0;0.0;0.0;0.0;0.0;0.0;1.0;388.96;0.0;0.0;0.0;0.0
3.1.10;"Conjunto Suporte + Placa 4x2"" c/ Parafusos";Elétrica;184.0;unid;R$ 10,81;R$ 1.989,04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1989.04
3.1.11;Módulo de Tomada 2P+T 10A / 250V (Branca);Elétrica;110.0;unid;R$ 18,44;R$ 2.028,40;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2028.4
3.1.12;Módulo de Tomada 2P+T 20A / 250V (Vermelha TUE);Elétrica;24.0;unid;R$ 21,36;R$ 512,64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;512.64
3.1.13;Módulo Interruptor Simples 10A;Elétrica;22.0;unid;R$ 15,90;R$ 349,80;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;349.8
3.1.14;Módulo Interruptor Paralelo (Three-Way) 10A;Elétrica;8.0;unid;R$ 19,33;R$ 154,64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;154.64
3.1.15;Cabo UTP Cat6 LSZH 4 Pares (Dados/Voz);Telecom;1450.0;m;R$ 11,94;R$ 17.313,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;17313.0;0.0;0.0
3.1.16;Módulo Tomada RJ45 Cat6 Keystone;Telecom;36.0;unid;R$ 49,79;R$ 1.792,44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1792.44
3.1.17;"Rack Metalico Telecom 19"" 12U de Parede";Telecom;1.0;unid;R$ 862,50;R$ 862,50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;862.5
3.1.18;"Patch Panel 24 Portas Cat6 19""";Telecom;2.0;unid;R$ 1.331,45;R$ 2.662,90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2662.9
3.1.19;Switch Gigabit Ethernet 24 Portas PoE;Telecom;1.0;unid;R$ 2.817,50;R$ 2.817,50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2817.5
3.1.20;Quadro Geral de Distribuição QDG 150A Trifásico;Elétrica;1.0;unid;R$ 1.080,94;R$ 1.080,94;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1080.94;0.0;0.0;0.0;0.0
3.1.21;Quadro de Distribuição de Luz QDF 24 Elementos embutir;Elétrica;2.0;unid;R$ 805,79;R$ 1.611,58;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1611.58;0.0;0.0;0.0;0.0
3.1.22;Disjuntor Geral Caixa Moldada 150A Trifásico;Elétrica;1.0;unid;R$ 534,11;R$ 534,11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;534.11
