GRUPO;CODIGO_COMPOSICAO;DESCRICAO;UNIDADE;CUSTO_TOTAL_SP_RS
Alvenaria Estrutural - Blocos Cerâmicos;89298;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39 CM (ESPESSURA 14 CM), FBK = 6 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;104.95
Alvenaria Estrutural - Blocos Cerâmicos;89282;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39 CM (ESPESSURA 14 CM), FBK = 6 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;93.43
Alvenaria Estrutural - Blocos Cerâmicos;107339;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107337;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107358;MURO DE ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107356;MURO DE ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107357;MURO DE ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107355;MURO DE ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107368;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 10 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105771;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 10 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107369;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 12 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105770;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 12 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;89480;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;200.05
Alvenaria Estrutural - Blocos de Concreto;89464;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;165.57
Alvenaria Estrutural - Blocos de Concreto;107370;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 16 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105769;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 16 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107371;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 18 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105768;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 18 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107372;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 20 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105767;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 20 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107366;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 3 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105773;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 3 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;89478;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;165.8
Alvenaria Estrutural - Blocos de Concreto;89462;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;135.93
Alvenaria Estrutural - Blocos de Concreto;107367;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 6 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105772;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 6 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;104444;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;104442;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107361;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 10 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105764;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 10 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107362;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 12 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105763;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 12 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;89472;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;167.43
Alvenaria Estrutural - Blocos de Concreto;89455;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;135.09
Alvenaria Estrutural - Blocos de Concreto;107363;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 16 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105762;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 16 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107364;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 18 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105761;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 18 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107365;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 20 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105760;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 20 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107359;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 3 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105766;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 3 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;89470;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;137.08
Alvenaria Estrutural - Blocos de Concreto;89453;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;108.9
Alvenaria Estrutural - Blocos de Concreto;107360;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 6 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;105765;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 6 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;104443;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;104441;ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107376;MURO DE ALVENARIA COM BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO COLHER DE PEDREIRO, ALTURA = 2,20 M. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107374;MURO DE ALVENARIA COM BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO PALHETA, ALTURA = 2,20 M. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107375;MURO DE ALVENARIA COM BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO COLHER DE PEDREIRO, ALTURA = 2,20 M. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos de Concreto;107373;MURO DE ALVENARIA COM BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO PALHETA, ALTURA = 2,20 M. AF_07/2026;M2;0
Alvenaria de Vedação;103354;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X14X24 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021;M2;108.73
Alvenaria de Vedação;103355;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X14X24 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021;M2;110.9
Alvenaria de Vedação;103330;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X19 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021;M2;99.92
Alvenaria de Vedação;103331;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X19 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021;M2;101.97
Alvenaria de Vedação;103358;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X29 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021;M2;83.91
Alvenaria de Vedação;103359;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X29 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021;M2;85.65
Alvenaria de Vedação;103366;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X39 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021;M2;72.25
Alvenaria de Vedação;103367;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X39 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021;M2;73.82
Alvenaria de Vedação;103360;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X19X29 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021;M2;98.18
Alvenaria de Vedação;103361;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X19X29 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021;M2;100.38
Alvenaria de Vedação;103368;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021;M2;82.11
Alvenaria de Vedação;103369;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021;M2;84.1
Alvenaria de Vedação;103334;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X9X19 CM (ESPESSURA 14 CM, BLOCO DEITADO) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021;M2;177.59
Alvenaria de Vedação;103335;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X9X19 CM (ESPESSURA 14 CM, BLOCO DEITADO) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021;M2;181.42
Alvenaria de Vedação;103362;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 19X19X29 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021;M2;118.18
Alvenaria de Vedação;103363;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 19X19X29 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021;M2;120.65
Alvenaria de Vedação;103370;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021;M2;102.67
Alvenaria de Vedação;103371;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021;M2;104.91
Alvenaria de Vedação;103332;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X14X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021;M2;151.37
Alvenaria de Vedação;103333;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X14X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021;M2;153.57
Alvenaria de Vedação;103352;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X14X24 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021;M2;128.84
Alvenaria de Vedação;103353;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X14X24 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021;M2;130.88
Alvenaria de Vedação;103328;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021;M2;117.47
Alvenaria de Vedação;103329;ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021;M2;119.38
