GRUPO;CODIGO_INSUMO;DESCRICAO;UNIDADE;PRECO_UNIT_SP_RS
MATERIAL;39125;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/8"" E PARAFUSO DE FIXACAO";UN;1.66
MATERIAL;39126;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E CUNHA DE FIXACAO";UN;7.47
MATERIAL;399;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E PARAFUSO DE FIXACAO";UN;6.58
MATERIAL;39158;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO ECONOMICA (GOTA), COM 8""";UN;17.68
MATERIAL;39141;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/2""";UN;1.28
MATERIAL;39140;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/4""";UN;1.16
MATERIAL;39139;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1""";UN;0.96
MATERIAL;39137;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1/2""";UN;0.67
MATERIAL;39143;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2 1/2""";UN;2.65
MATERIAL;39142;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2""";UN;1.89
MATERIAL;39144;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3""";UN;3.08
MATERIAL;39138;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/4""";UN;0.71
MATERIAL;39136;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/8""";UN;0.47
MATERIAL;39145;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 4""";UN;5.08
MATERIAL;12615;ABRACADEIRA PVC, PARA CALHA PLUVIAL, DIAMETRO ENTRE *80 E 100* MM, PARA DRENAGEM PLUVIAL PREDIAL;UN;16.64
MATERIAL;11927;"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA FITA *12,6 A *14 MM, D = 2"" A 2 1/2""";UN;7.16
MATERIAL;11928;"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA FITA *12,6 A *14 MM, D = 3"" A 3 3/4""";UN;8.2
MATERIAL;11929;"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA FITA *12,6 A *14 MM, D = 4"" A 4 3/4""";UN;12.69
MATERIAL;44908;"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA FITA 19 MM, D = 1""";UN;1.54
MATERIAL;36801;"ACABAMENTO DE METAL CROMADO PARA REGISTRO PEQUENO, DE PAREDE, 1/2"" OU 3/4""";UN;34.07
MATERIAL;36246;"ACABAMENTO SIMPLES/CONVENCIONAL PARA FORRO PVC, TIPO ""U"" OU ""C"", COR BRANCA, COMPRIMENTO 6 M";M;5.2
MATERIAL;37600;ACESSORIO DE LIGACAO NAO ELETRICO PARA CARGAS EXPLOSIVAS, TUBO DE 6 M;UN;123.17
MATERIAL;37599;ACESSORIO INICIADOR NAO ELETRICO, TUBO DE 6 M, TEMPO DE RETARDO DE *160* MS;UN;114.64
MATERIAL;1;ACETILENO - RECARGA DE GAS PARA CILINDRO (NAO INCLUI TROCA/MANUTENCAO DO CILINDRO);KG;110
MATERIAL;3;ACIDO CLORIDRICO / ACIDO MURIATICO, DILUICAO 10% A 12% PARA USO EM LIMPEZA;L;20.69
MATERIAL;43054;ACO CA-25, 10,0 MM, OU 12,5 MM, OU 16,0 MM, OU 20,0 MM, OU 25,0 MM, VERGALHAO;KG;7.18
MATERIAL;42402;ACO CA-25, 16,0 MM, BARRA DE TRANSFERENCIA;KG;6.86
MATERIAL;42403;ACO CA-25, 20,0 MM, BARRA DE TRANSFERENCIA;KG;8.8
MATERIAL;42404;ACO CA-25, 25,0 MM, BARRA DE TRANSFERENCIA;KG;8.75
MATERIAL;42405;ACO CA-25, 32,0 MM, BARRA DE TRANSFERENCIA;KG;9.32
MATERIAL;34341;ACO CA-25, 32,0 MM, VERGALHAO;KG;8.09
MATERIAL;43053;ACO CA-25, 6,3 MM OU 8,0 MM, VERGALHAO;KG;6.41
MATERIAL;43058;ACO CA-50, 10,0 MM, OU 12,5 MM, OU 16,0 MM, OU 20,0 MM, DOBRADO E CORTADO;KG;6.65
MATERIAL;34;ACO CA-50, 10,0 MM, VERGALHAO;KG;6.68
MATERIAL;43055;ACO CA-50, 12,5 MM OU 16,0 MM, VERGALHAO;KG;5.79
MATERIAL;43056;ACO CA-50, 20,0 MM OU 25,0 MM, VERGALHAO;KG;6.67
MATERIAL;43057;ACO CA-50, 32,0 MM, VERGALHAO;KG;7.33
MATERIAL;34449;ACO CA-50, 6,3 MM, DOBRADO E CORTADO;KG;7.84
MATERIAL;32;ACO CA-50, 6,3 MM, VERGALHAO;KG;7.05
MATERIAL;33;ACO CA-50, 8,0 MM, VERGALHAO;KG;7.09
MATERIAL;43061;ACO CA-60, 4,2 MM OU 5,0 MM, DOBRADO E CORTADO;KG;6.62
MATERIAL;43059;ACO CA-60, 4,2 MM, OU 5,0 MM, OU 6,0 MM, OU 7,0 MM, VERGALHAO;KG;6.32
MATERIAL;43062;ACO CA-60, 6,0 MM OU 7,0 MM, DOBRADO E CORTADO;KG;7.01
MATERIAL;43060;ACO CA-60, 8,0 MM OU 9,5 MM, VERGALHAO;KG;5.51
MATERIAL;40410;"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 50 MM (2"")";UN;22.86
MATERIAL;40411;"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 65 MM (2 1/2"")";UN;24.81
MATERIAL;40412;"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 80 MM (3"")";UN;27.84
MATERIAL;44254;ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 15 MM, CAIXA D'AGUA PARA AGUA QUENTE;UN;29.99
MATERIAL;44255;ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 22 MM, CAIXA D'AGUA PARA AGUA QUENTE;UN;33.24
MATERIAL;44256;ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 28 MM, CAIXA D'AGUA PARA AGUA QUENTE;UN;37.54
MATERIAL;44257;ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 35 MM, CAIXA D'AGUA PARA AGUA QUENTE;UN;59.4
MATERIAL;44258;ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 42 MM, CAIXA D'AGUA PARA AGUA QUENTE;UN;67.88
MATERIAL;44259;ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 54 MM, CAIXA D'AGUA PARA AGUA QUENTE;UN;93.17
MATERIAL;37997;ADAPTADOR CPVC, SOLDAVEL, 15 MM, PARA AGUA QUENTE;UN;17.87
MATERIAL;37998;ADAPTADOR CPVC, SOLDAVEL, 22 MM, PARA AGUA QUENTE;UN;23.92
MATERIAL;55;"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 1/2"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)";UN;4.86
MATERIAL;61;"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 3/4"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)";UN;4.59
MATERIAL;62;"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 32 MM X 1"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)";UN;9.52
MATERIAL;10899;"ADAPTADOR EM LATAO, ENGATE RAPIDO 2 1/2"" X ROSCA INTERNA 5 FIOS 2 1/2"", PARA INSTALACAO PREDIAL DE COMBATE A INCENDIO";UN;161.21
MATERIAL;10900;"ADAPTADOR EM LATAO, ENGATE RAPIDO1 1/2"" X ROSCA INTERNA 5 FIOS 2 1/2"", PARA INSTALACAO PREDIAL DE COMBATE A INCENDIO";UN;126.17
MATERIAL;47;ADAPTADOR PVC PBA, BOLSA/ROSCA, JE, DN 100 / DE 110 MM;UN;86.69
MATERIAL;48;ADAPTADOR PVC PBA, BOLSA/ROSCA, JE, DN 50 / DE 60 MM;UN;22.61
MATERIAL;46;ADAPTADOR PVC PBA, BOLSA/ROSCA, JE, DN 75 / DE 85 MM;UN;50.7
MATERIAL;52;ADAPTADOR PVC PBA, PONTA/ROSCA, JE, DN 50 / DE 60 MM;UN;17.18
MATERIAL;43;ADAPTADOR PVC PBA, PONTA/ROSCA, JE, DN 75 / DE 85 MM;UN;57.98
MATERIAL;103;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 110 MM X 4"", PARA AGUA FRIA";UN;54.37
MATERIAL;107;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 20 MM X 1/2"", PARA AGUA FRIA";UN;1.02
MATERIAL;65;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 25 MM X 3/4"", PARA AGUA FRIA";UN;1.12
MATERIAL;108;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 32 MM X 1"", PARA AGUA FRIA";UN;2.25
MATERIAL;110;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 40 MM X 1 1/2"", PARA AGUA FRIA";UN;7.82
MATERIAL;109;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 40 MM X 1 1/4"", PARA AGUA FRIA";UN;4.66
MATERIAL;111;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 50 MM X 1 1/4"", PARA AGUA FRIA";UN;10.58
MATERIAL;112;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 50 MM X1 1/2"", PARA AGUA FRIA";UN;5.61
MATERIAL;113;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 60 MM X 2"", PARA AGUA FRIA";UN;14.04
MATERIAL;104;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 75 MM X 2 1/2"", PARA AGUA FRIA";UN;24.44
MATERIAL;102;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 85 MM X 3"", PARA AGUA FRIA";UN;33.69
MATERIAL;95;"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 20 MM X 1/2"", PARA CAIXA D'AGUA";UN;14.24
MATERIAL;96;"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 25 MM X 3/4"", PARA CAIXA D'AGUA";UN;15.49
MATERIAL;97;"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 32 MM X 1"", PARA CAIXA D'AGUA";UN;23.3
MATERIAL;98;"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 40 MM X 1 1/4"", PARA CAIXA D'AGUA";UN;34.88
MATERIAL;99;"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 50 MM X 1 1/2"", PARA CAIXA D'AGUA";UN;32.96
MATERIAL;60;"ADAPTADOR PVC, COM REGISTRO, PARA PEAD, 20 MM X 3/4"", PARA LIGACAO PREDIAL DE AGUA";UN;6.3
MATERIAL;72;"ADAPTADOR PVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 1 1/2"", PARA CAIXA D'AGUA";UN;63.21
MATERIAL;71;"ADAPTADOR PVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 1"", PARA CAIXA D'AGUA";UN;39.04
MATERIAL;67;"ADAPTADOR PVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 1/2"", PARA CAIXA D'AGUA";UN;20.44
MATERIAL;73;"ADAPTADOR PVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 3/4"", PARA CAIXA D'AGUA";UN;19.56
MATERIAL;100;"ADAPTADOR PVC, SOLDAVEL, COM FLANGES E ANEL DE VEDACAO, 60 MM X 2"", PARA CAIXA D'AGUA";UN;57.59
MATERIAL;75;"ADAPTADOR PVC, SOLDAVEL, COM FLANGES LIVRES, 110 MM X 4"", PARA CAIXA D'AGUA";UN;335.75
MATERIAL;83;"ADAPTADOR PVC, SOLDAVEL, COM FLANGES LIVRES, 75 MM X 2 1/2"", PARA CAIXA D'AGUA";UN;268.42
MATERIAL;74;"ADAPTADOR PVC, SOLDAVEL, COM FLANGES LIVRES, 85 MM X 3"", PARA CAIXA D'AGUA";UN;383.77
MATERIAL;106;"ADAPTADOR PVC, SOLDAVEL, LONGO, COM FLANGE LIVRE, 110 MM X 4"", PARA CAIXA D'AGUA";UN;485.29
MATERIAL;88;"ADAPTADOR PVC, SOLDAVEL, LONGO, COM FLANGE LIVRE, 32 MM X 1"", PARA CAIXA D'AGUA";UN;13.64
MATERIAL;82;"ADAPTADOR PVC, SOLDAVEL, LONGO, COM FLANGE LIVRE, 75 MM X 2 1/2"", PARA CAIXA D'AGUA";UN;255.38
MATERIAL;105;"ADAPTADOR PVC, SOLDAVEL, LONGO, COM FLANGE LIVRE, 85 MM X 3"", PARA CAIXA D'AGUA";UN;361.87
MATERIAL;39719;ADESIVO / COLA DE CONTATO LIQUIDO, A BASE DE RESINAS, PARA COLAGEM DE ESPUMA PARA ISOLAMENTO TERMICO FLEXIVEL;L;172.13
MATERIAL;3410;ADESIVO / COLA PARA EPS (ISOPOR) E OUTROS MATERIAIS;KG;38.72
MATERIAL;4791;ADESIVO ACRILICO DE BASE AQUOSA / COLA DE CONTATO;KG;48.85
MATERIAL;157;ADESIVO ESTRUTURAL A BASE DE RESINA EPOXI PARA INJECAO EM TRINCAS, BICOMPONENTE, BAIXA VISCOSIDADE;KG;144.25
MATERIAL;156;ADESIVO ESTRUTURAL A BASE DE RESINA EPOXI, BICOMPONENTE, FLUIDO;KG;51.36
MATERIAL;131;ADESIVO ESTRUTURAL A BASE DE RESINA EPOXI, BICOMPONENTE, PASTOSO (TIXOTROPICO);KG;43.92
MATERIAL;21114;ADESIVO PARA TUBOS CPVC, *75* G;UN;33.93
MATERIAL;119;ADESIVO PLASTICO PARA PVC, BISNAGA COM 75 GR;UN;8.6
MATERIAL;122;ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR;UN;66.17
MATERIAL;20080;ADESIVO PLASTICO PARA PVC, FRASCO COM 175 GR;UN;21.59
MATERIAL;124;ADITIVO ACELERADOR DE PEGA E ENDURECIMENTO PARA ARGAMASSAS E CONCRETOS, LIQUIDO E ISENTO DE CLORETOS;L;16.94
MATERIAL;7334;ADITIVO ADESIVO LIQUIDO PARA ARGAMASSAS DE REVESTIMENTOS CIMENTICIOS;L;15.52
MATERIAL;45146;ADITIVO IMPERMEABILIZANTE CRISTALIZANTE PARA CONCRETO;KG;32.48
MATERIAL;123;ADITIVO IMPERMEABILIZANTE DE PEGA NORMAL PARA ARGAMASSAS E CONCRETOS SEM ARMACAO, LIQUIDO E ISENTO DE CLORETOS;L;6.93
MATERIAL;127;ADITIVO IMPERMEABILIZANTE DE PEGA ULTRARRAPIDA, LIQUIDO E ISENTO DE CLORETOS;L;16.54
MATERIAL;133;ADITIVO LIQUIDO INCORPORADOR DE AR PARA CONCRETO E ARGAMASSA, LIQUIDO E ISENTO DE CLORETOS;L;6.87
MATERIAL;43617;ADITIVO PLASTIFICANTE E ESTABILIZADOR PARA ARGAMASSAS DE ASSENTAMENTO E REBOCO, LIQUIDO E ISENTO DE CLORETOS;L;7.67
MATERIAL;132;ADITIVO PLASTIFICANTE RETARDADOR DE PEGA E REDUTOR DE AGUA PARA CONCRETO, LIQUIDO E ISENTO DE CLORETOS;L;7.12
MATERIAL;43618;ADITIVO SUPERPLASTIFICANTE DE PEGA NORMAL PARA CONCRETO, LIQUIDO E ISENTO DE CLORETOS;KG;17.93
MATERIAL;37476;ADUELA/ GALERIA PRE-MOLDADA DE CONCRETO ARMADO, SECAO QUADRADA INTERNA DE 1,50 X 1,50 M (L X A), MISULA DE 20 X 20 CM, C = 1,00 M, ESPESSURA MIN = 15 CM, TB-45 E FCK DO CONCRETO = 30 MPA;UN;4475.79
MATERIAL;37478;ADUELA/ GALERIA PRE-MOLDADA DE CONCRETO ARMADO, SECAO RETANGULAR INTERNA DE 2,00 X 2,00 M (L X A), MISULA DE 20 X 20 CM, C = 1,00 M, ESPESSURA MIN = 15 CM, TB-45 E FCK DO CONCRETO = 30 MPA;UN;5606.05
MATERIAL;37477;ADUELA/ GALERIA PRE-MOLDADA DE CONCRETO ARMADO, SECAO RETANGULAR INTERNA DE 2,50 X 2,50 M (L X A), MISULA DE 20 X 20 CM, C = 1,00 M, ESPESSURA MIN = 15 CM, TB-45 E FCK DO CONCRETO = 30 MPA;UN;7595.29
MATERIAL;37479;ADUELA/ GALERIA PRE-MOLDADA DE CONCRETO ARMADO, SECAO RETANGULAR INTERNA DE 3,00 X 3,00 M (L X A), MISULA DE 20 X 20 CM, C = 1.00 M, ESPESSURA MIN = 20 CM, TB-45 E FCK DO CONCRETO = 30 MPA;UN;9008.1
MATERIAL;4319;AFASTADOR PARA TELHA DE FIBROCIMENTO CANALETE 90 OU KALHETAO;UN;1.67
MATERIAL;42409;AGENTE DE CURA, PROTETOR DA EVAPORACAO DA AGUA DE HIDRATACAO DO CONCRETO;KG;11.29
MATERIAL;40553;AGREGADO RECICLADO, TIPO RACHAO RECICLADO CINZA, CLASSE A;M3;75
MAO DE OBRA;6114;AJUDANTE DE ARMADOR (HORISTA);H;25.07
MAO DE OBRA;40912;AJUDANTE DE ARMADOR (MENSALISTA);MES;4391.65
MAO DE OBRA;247;AJUDANTE DE ELETRICISTA (HORISTA);H;25.07
MAO DE OBRA;40919;AJUDANTE DE ELETRICISTA (MENSALISTA);MES;4391.65
MAO DE OBRA;44499;AJUDANTE DE ESTRUTURAS METALICAS (HORISTA);H;25.07
MAO DE OBRA;40984;AJUDANTE DE ESTRUTURAS METALICAS (MENSALISTA);MES;4391.65
MAO DE OBRA;248;AJUDANTE DE OPERACAO EM GERAL (HORISTA);H;22.51
MAO DE OBRA;41086;AJUDANTE DE OPERACAO EM GERAL (MENSALISTA);MES;3945.09
MAO DE OBRA;34466;AJUDANTE DE PINTOR (HORISTA);H;25.07
MAO DE OBRA;41083;AJUDANTE DE PINTOR (MENSALISTA);MES;4391.65
MAO DE OBRA;252;AJUDANTE DE SERRALHEIRO (HORISTA);H;25.07
MAO DE OBRA;40909;AJUDANTE DE SERRALHEIRO (MENSALISTA);MES;4391.65
MAO DE OBRA;242;AJUDANTE ESPECIALIZADO (HORISTA);H;24.1
MAO DE OBRA;41085;AJUDANTE ESPECIALIZADO (MENSALISTA);MES;4221.72
MATERIAL;427;"ALCA PREFORMADA DE CONTRA POSTE, EM ACO GALVANIZADO, PARA CABO 3/16"", COMPRIMENTO *860* MM";UN;6.55
MATERIAL;417;ALCA PREFORMADA DE DISTRIBUICAO, EM ACO GALVANIZADO, PARA CABO DE ALUMINIO DIAMETRO 16 A 25 MM;UN;3.08
MATERIAL;11273;ALCA PREFORMADA DE DISTRIBUICAO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 1/0 (CAA 6/1 OU CA 7 FIOS);UN;9.58
MATERIAL;11272;ALCA PREFORMADA DE DISTRIBUICAO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 2 (CAA 6/1 OU CA 7 FIOS);UN;5.78
MATERIAL;11275;ALCA PREFORMADA DE SERVICO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 4 (CAA 6/1);UN;2.32
MATERIAL;11274;ALCA PREFORMADA DE SERVICO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 6 (CAA 6/1);UN;1.77
MATERIAL;45208;ALICATE AMPERIMETRO, TENSAO AC/DC, CAPACIDADE MAXIMA 1000 A;UN;228.66
MATERIAL;45250;"ALICATE BICO LONGO (MEIA CANA) 6"", COM ISOLAMENTO ATE 1000 V";UN;36.92
MATERIAL;38470;"ALICATE DE CORTE DIAGONAL 6"" COM ISOLAMENTO";UN;37.8
MATERIAL;38547;ALICATE DE CRIMPAR RJ11, RJ12 E RJ45, COM CATRACA;UN;250.93
MATERIAL;38467;"ALICATE DE PRESSAO 11"" PARA SOLDA, TIPO C";UN;152.08
MATERIAL;38468;"ALICATE DE PRESSAO 11"" PARA SOLDA, TIPO U";UN;189.84
MATERIAL;38469;"ALICATE DE PRESSAO PARA SOLDA DE CHAPA 18""";UN;239.6
MATERIAL;45197;"ALICATE DESENCAPADOR AUTOMATICO 8""";UN;191.09
MATERIAL;38471;ALICATE PARA ANEIS DE PISTAO, CAPACIDADE *50* A 100 MM;UN;256.26
MATERIAL;45206;"ALICATE PROFISSIONAL 8"", UNIVERSAL, COM ISOLAMENTO ATE 1000 V";UN;50.63
ENCARGOS COMPLEMENTARES;37370;ALIMENTACAO - HORISTA (COLETADO CAIXA - ENCARGOS COMPLEMENTARES);H;4.48
ENCARGOS COMPLEMENTARES;40862;ALIMENTACAO - MENSALISTA (COLETADO CAIXA - ENCARGOS COMPLEMENTARES);MES;743.12
EQUIPAMENTO (AQUISIÇÃO);10658;ALISADORA DE CONCRETO COM MOTOR A GASOLINA DE 5,5 HP, PESO COM MOTOR DE 78 KG, 4 PAS;UN;9199.5
MAO DE OBRA;253;ALMOXARIFE (HORISTA);H;38.57
MAO DE OBRA;40809;ALMOXARIFE (MENSALISTA);MES;6756.13
MATERIAL;42428;ALONGADOR COM TRES ALTURAS, EM TUBO DE ACO CARBONO, PINTURA NO PROCESSO ELETROSTATICO - EQUIPAMENTO DE GINASTICA PARA ACADEMIA AO AR LIVRE / ACADEMIA DA TERCEIRA IDADE - ATI;UN;2271
MATERIAL;301;ANEL BORRACHA PARA TUBO ESGOTO PREDIAL, DN 100 MM (NBR 5688);UN;2.98
MATERIAL;296;ANEL BORRACHA PARA TUBO ESGOTO PREDIAL, DN 50 MM (NBR 5688);UN;1.68
MATERIAL;297;ANEL BORRACHA PARA TUBO ESGOTO PREDIAL, DN 75 MM (NBR 5688);UN;2.47
MATERIAL;299;ANEL BORRACHA, DN 100 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL;UN;3.49
MATERIAL;300;ANEL BORRACHA, DN 150 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL;UN;12.09
MATERIAL;20085;ANEL BORRACHA, DN 50 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL;UN;2.21
MATERIAL;298;ANEL BORRACHA, DN 75 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL;UN;2.69
MATERIAL;311;ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 100 MM (NBR 7665);UN;9.97
MATERIAL;318;ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 150 MM (NBR 7665);UN;20.09
