Codigo_CC;Nivel;Descricao_Centro_Custo;EAP_Macro_Vinculada;Natureza_Gasto;Conta_Contabil
CC-308;Analítico;Armadura CA-50 Pilares e Vigas + CA-60 Lajes;1.2.10 e 1.2.11;Material - Aço Estrutural;4.1.2.02.08
CC-400;Sintético;ARQUITETURA, ALVENARIAS E ACABAMENTOS;2.1;Custo Direto Físico;4.1.2.03
CC-401;Analítico;Alvenaria de Vedação (Blocos de Concreto 14x19x39);2.1.1;Material - Blocos e Argamassas;4.1.2.03.01
CC-402;Analítico;Chapisco e Emboço/Reboco Paulista 20mm;2.1.2 e 2.1.3;Material/MO Revestimentos;4.1.2.03.02
CC-403;Analítico;Contrapiso e Porcelanato Retificado 60x60cm;2.1.4, 2.1.5 e 2.1.7;Material - Pisos e Argamassas;4.1.2.03.03
CC-404;Analítico;Revestimento Cerâmico de Paredes WCs (45x45);2.1.6;Material - Cerâmica e Argamassa;4.1.2.03.04
CC-405;Analítico;Pintura Látex Acrílica 3 Demãos (Paredes e Tetos);2.1.8;Material - Tintas e Acessórios;4.1.2.03.05
CC-406;Analítico;Esquadrias de Madeira (Portas P1 a P5 completas);2.1.9;Material - Esquadrias Madeira;4.1.2.03.06
CC-407;Analítico;Esquadrias de Alumínio e Vidro (Janelas J1 a J4);2.1.10;Material - Esquadrias Alumínio;4.1.2.03.07
CC-408;Analítico;Impermeabilização Polimérica WCs e Copa;2.1.11;Material - Impermeabilizantes;4.1.2.03.08
CC-500;Sintético;COBERTURA, ESTRUTURA METÁLICA E CALHAS;2.2;Custo Direto Físico;4.1.2.04
CC-501;Analítico;Telhas Termoacústicas Sandwich EPS 30mm;2.2.1;Material - Cobertura;4.1.2.04.01
CC-502;Analítico;Estrutura Metálica de Apoio (Terças Perfil U);2.2.2 e 2.2.3;Material - Perfis Metálicos;4.1.2.04.02
CC-503;Analítico;Calhas, Rufos e Impermeabilização com Manta 4mm;2.2.4 a 2.2.7;Material - Calhas e Mantas;4.1.2.04.03
CC-504;Analítico;Alvenaria e Revestimento de Platibanda;2.2.8 a 2.2.10;Material/MO Platibanda;4.1.2.04.04
CC-600;Sintético;INSTALAÇÕES ELÉTRICAS, CABEAMENTO E TELECOM;3.1 e 3.3;Custo Direto Físico;4.1.2.05
CC-601;Analítico;Cabos de Cobre, Eletrodutos e Caixas de Embutir;3.1.1 a 3.1.7;Material - Elétrica Básica;4.1.2.05.01
CC-602;Analítico;Quadros QDG/QDF, Disjuntores DIN, DR e DPS;3.1.8 e 3.1.10;Material - Dispositivos Elétricos;4.1.2.05.02
CC-603;Analítico;Interruptores, Tomadas e Luminárias LED 60x60;3.1.9 e 3.1.11;Material - Acabamento Elétrico;4.1.2.05.03
CC-604;Analítico;Cabeamento Estruturado Cat6, Rack 12U e Switch;3.3.1 a 3.3.4;Material - Redes e Telecom;4.1.2.05.04
CC-700;Sintético;INSTALAÇÕES HIDROSSANITÁRIAS E PLUVIAIS;3.2;Custo Direto Físico;4.1.2.06
CC-701;Analítico;Tubos e Conexões PVC Água Fria, Esgoto e Ventilação;3.2.1 a 3.2.8;Material - Tubulações PVC;4.1.2.06.01
CC-702;Analítico;Registros de Gaveta/Pressão e Caixas de Gordura;3.2.9 e 3.2.10;Material - Válvulas e Caixas;4.1.2.06.02
CC-703;Analítico;Louças Sanitárias, Cubas, Torneiras e Acessórios;3.2.11 e 3.2.12;Material - Louças e Metais;4.1.2.06.03
CC-704;Analítico;Reservatórios de Polietileno 5.000L;3.2.13;Material - Reservatórios;4.1.2.06.04
CC-800;Sintético;CLIMATIZAÇÃO E HVAC;4.1;Custo Direto Físico;4.1.2.07
CC-801;Analítico;Aparelhos Split Cassete 36.000 e Hi-Wall Inverter;4.1.1 e 4.1.2;Equipamentos de Climatização;4.1.2.07.01
CC-802;Analítico;Linhas Frigorígenas, Cobre e Instalação HVAC;4.1.3;Serviço Especializado HVAC;4.1.2.07.02
