codigo_eap;tipo_fonte;cod_referencia;preco_override;categoria_bdi;descricao_referencia
2.2.9;COMP;87529;;SERVICO;Chapisco e emboço face interna platibanda
2.2.10;COMP;88489;;SERVICO;Pintura acrílica impermeável 3 demãos platibanda
3.1.1;COMP;91926;;SERVICO;Cabo cobre flexível 750V 2,5mm² iluminação/tomadas
3.1.2;COMP;91928;8.45;SERVICO;Cabo cobre flexível 750V 4,0mm² tomadas especiais
3.1.3;COMP;91930;12.80;SERVICO;Cabo cobre flexível 750V 6,0mm² ar condicionado
3.1.4;COMP;92992;68.50;SERVICO;Cabo cobre Sintenax 0,6/1kV 35mm² alimentador
3.1.5;COMP;91863;;SERVICO;Eletroduto rígido PVC d=25mm (3/4)
3.1.6;COMP;91864;18.20;SERVICO;Eletroduto rígido PVC d=32mm (1)
3.1.7;INS;1872;3.20;SERVICO;Caixa de embutir 4x2 PVC amarela
3.1.8;INS;1873;5.80;SERVICO;Caixa de embutir 4x4 PVC amarela
3.1.9;INS;1874;4.50;SERVICO;Caixa octogonal 3x3 PVC teto
3.1.10;INS;38083;8.50;SERVICO;Conjunto suporte + placa 4x2 c/ parafusos
3.1.11;INS;38078;14.50;SERVICO;Módulo tomada 2P+T 10A 250V branca
3.1.12;INS;38079;16.80;SERVICO;Módulo tomada 2P+T 20A 250V vermelha TUE
3.1.13;INS;38080;12.50;SERVICO;Módulo interruptor simples 10A
3.1.14;INS;38081;15.20;SERVICO;Módulo interruptor paralelo (Three-Way) 10A
3.1.20;COMP;101879;850.00;SERVICO;Quadro Geral de Distribuição QDG 150A trifásico
3.1.21;COMP;101879;;SERVICO;Quadro distribuição de luz QDF 24 elementos embutir
3.1.22;INS;2380;420.00;SERVICO;Disjuntor geral caixa moldada 150A trifásico
3.1.23;INS;2370;18.90;SERVICO;Disjuntor termomagnético DIN monopolar 10A/16A/20A
3.1.24;INS;2372;52.00;SERVICO;Disjuntor termomagnético DIN bipolar/tripolar 25A/32A
3.1.25;INS;39446;165.00;SERVICO;Interruptor diferencial residual DR tetrapolar 40A 30mA
3.1.26;INS;39447;68.00;SERVICO;Dispositivo de proteção contra surtos DPS 20kA 275V
3.1.27;INS;38799;78.50;SERVICO;Painel LED embutir 60x60cm 40W 4000K
3.1.28;INS;38800;115.00;SERVICO;Luminária hermética LED 2x18W IP65 áreas técnicas
3.1.29;INS;38801;62.00;SERVICO;Bloco iluminação de emergência LED 2x8W c/ bateria
3.1.30;COMP;96985;145.00;SERVICO;Haste de aterramento Copperweld 3/4 x 3m + conexões
3.1.15;INS;39599;;SERVICO;Cabo UTP Cat6 LSZH 4 pares dados/voz
3.1.16;INS;39601;;SERVICO;Módulo tomada RJ45 Cat6 Keystone
3.1.17;COMP;100555;750.00;EQUIPAMENTO;Mini-rack metálico telecom 19 12U de parede
3.1.18;COMP;98302;;EQUIPAMENTO;Patch Panel 24 portas Cat6 19
3.1.19;COT;COT-TEL-01;2450.00;EQUIPAMENTO;Switch Gigabit Ethernet 24 Portas PoE gerenciável
3.2.1;COMP;94648;;SERVICO;Tubo PVC soldável água fria d=25mm (3/4)
3.2.2;COMP;94651;22.80;SERVICO;Tubo PVC soldável água fria d=50mm (1.1/2)
3.2.3;COMP;89711;12.50;SERVICO;Tubo PVC esgoto série normal d=40mm
3.2.4;COMP;89713;18.90;SERVICO;Tubo PVC esgoto série normal d=75mm
3.2.5;COMP;102264;;SERVICO;Tubo PVC esgoto série normal d=100mm
3.2.6;COMP;89716;42.00;SERVICO;Tubo PVC pluvial série reforçada d=150mm
3.2.7;INS;3527;1.85;SERVICO;Joelho 90 PVC soldável d=25mm
3.2.8;INS;3530;5.20;SERVICO;Joelho 90 c/ bucha de latão d=25mm x 1/2
3.2.9;INS;3529;6.80;SERVICO;Joelho 90 PVC soldável d=50mm
3.2.10;INS;7137;2.90;SERVICO;Tê 90 PVC soldável d=25mm
3.2.11;INS;7140;8.50;SERVICO;Tê 90 redução PVC soldável d=50x25mm
3.2.12;INS;1978;6.20;SERVICO;Curva de transposição PVC soldável d=25mm
3.2.13;INS;3523;9.40;SERVICO;Joelho 90 PVC esgoto d=100mm
3.2.14;INS;3524;8.90;SERVICO;Joelho 45 PVC esgoto d=100mm
3.2.15;INS;3668;16.50;SERVICO;Junção 45 Y PVC esgoto d=100x50mm
3.2.16;INS;7145;18.20;SERVICO;Tê sanitário 90 PVC esgoto d=100x100mm
3.2.17;COMP;89987;;SERVICO;Registro gaveta bruto c/ canopla d=25mm (3/4)
3.2.18;COMP;89990;142.00;SERVICO;Registro gaveta bruto c/ canopla d=50mm (1.1/2)
3.2.19;COMP;89984;68.50;SERVICO;Registro pressão c/ canopla cromada d=20mm
3.2.20;INS;7598;85.00;SERVICO;Válvula de retenção vertical d=50mm
3.2.21;INS;5251;2650.00;EQUIPAMENTO;Reservatório de água polietileno 5.000 L c/ tampa
3.2.22;COMP;89708;48.50;SERVICO;Ralo sifonado PVC 150x150x50mm grelha inox
3.2.23;COMP;98108;380.00;SERVICO;Caixa de gordura pré-moldada concreto 100L
3.2.24;COMP;98107;290.00;SERVICO;Caixa de inspeção esgoto concreto 60x60x60cm
3.2.25;COMP;86888;;SERVICO;Bacia sanitária c/ caixa acoplada 3/6L louça branca
3.2.26;COMP;86906;410.00;SERVICO;Lavatório louça branca c/ torneira automática de mesa
3.2.27;INS;6140;14.50;SERVICO;Sifão sanfonado universal PVC c/ adaptador
3.2.28;INS;2538;22.00;SERVICO;Engate flexível inox 1/2 40cm
3.2.29;INS;7589;28.00;SERVICO;Válvula de escoamento inox 7/8 lavatório
3.2.30;INS;3148;8.50;SERVICO;Fita veda-rosca PTFE 18mm x 50m
3.3.1;COMP;103271;;EQUIPAMENTO;Aparelho Split Cassete 36.000 BTU/h c/ instalação
3.3.2;COMP;103250;;EQUIPAMENTO;Aparelho Split Hi-Wall 18.000 BTU/h Inverter
3.3.3;COMP;103247;;EQUIPAMENTO;Aparelho Split Hi-Wall 12.000 BTU/h Inverter
3.3.4;COMP;89868;82.50;SERVICO;Tubulação cobre flexível d=3/8+5/8 c/ isolamento elastomérico
3.3.5;COMP;89865;;SERVICO;Tubo PVC dreno condensado d=25mm c/ isolamento
3.3.6;INS;2480;220.00;EQUIPAMENTO;Exaustor axial parede/teto 150 m³/h
