Categoria / Disciplina;Descrição do Insumo / Miudeza de Canteiro;Quantidade Comercial UCC;Unidade Comercial;Observação Técnica / Aplicação
Pisos/Acabamentos;Rodapé de Porcelanato h=10cm;422.62;m;Rodapé com 10% de perda
Pisos/Acabamentos;Lona Plástica Preta Proteção de Piso;4;bobinas 100m²;Proteção de pisos acabados contra danos
Pintura;Tinta Acrílica Premium (Latas 18L);38;latas de 18L;Paredes/tetos (36) + Platibanda impermeável (2)
Pintura;Selador Acrílico Base Água (Latas 18L);13;latas de 18L;Preparação e selagem de reboco novo (223 L)
Pintura;Lixa Grossa p/ Reboco (Grão 80/100);112;folhas;Desbaste de reboco paulista
Pintura;Lixa Fina p/ Massa/Gesso (Grão 150/220);262;folhas;Acabamento fino pré-pintura
Pintura;Fita Crepe Proteção 24mm x 50m;13;rolos 50m;Isolamento de rodapés, caixilhos e vidros
Esquadrias;Portas P1 a P5 Madeira/Alumínio;24;conjuntos;Conjuntos executivos de portas completas
Esquadrias;Dobradiças 3 ½" x 3" em Aço Inox;82;dobradiças inox;3 un por folha de abrir (26 folhas)
Esquadrias;Fechaduras Completas (Cil/Gorge/Tranq);24;conjuntos;Máquina, cilindro, maçaneta e roseta
Esquadrias;Batedores de Porta de Piso Inox;26;unidades;Batedor com amortecedor emborrachado
Esquadrias;Espuma de Poliuretano Expansiva 750ml;11;tubos 750ml;Fixação e calafetação de marcos/batentes
Esquadrias;Parafusos e Buchas Nylon S8 Batente;3;caixas 100un;Fixação mecânica de batentes (202 un)
Esquadrias;Pregos sem Cabeça 12x12 p/ Alizares;5;pacotes 100un;Fixação de guarnições e alizares (504 un)
Esquadrias;Cola Branca PVA Madeira D3 (500g);4;frascos 500g;Colagem de esquadrias e alizares
Esquadrias;Janelas J1 a J4 Alumínio e Vidro;18;conjuntos;Janelas completas de correr e basculantes
Esquadrias;Selante PU 40 Neutro Caixilhos (310ml);14;tubos 310ml;Vedação perimétrica externa de caixilhos
Impermeabilização;Membrana Polimérica Flexível WCs/Copa;19;caixas 18kg;3 demãos cruzadas em áreas molhadas (92,62 m²)
Impermeabilização;Tela de Poliéster / Véu de Reforço;2;rolos 50m²;Estruturação de cantos vivos, meias-canas e ralos
Impermeabilização;Manta Asfáltica Poliéster 4mm Calhas;8;rolos 10m²;Impermeabilização de calhas pluviais (71,3 m²)
Impermeabilização;Primer Asfáltico Base Solvente Calhas;2;baldes 18L;Imprimação para manta asfáltica (36 L)
Impermeabilização;Gás GLP P-13 p/ Maçarico de Manta;2;botijões P-13;Aplicação a fogo da manta asfáltica
Cobertura/Metálica;Telha Termoacústica Sandwich EPS 30mm;70;telhas 6m;Telha trapezoidal inclinação 15° (419,42 m²)
Cobertura/Metálica;Parafuso Auto-brocante 12x1" c/ EPDM;19;caixas 100un;Fixação de telhas nas terças (1.802 un)
Cobertura/Metálica;Parafuso Costura 10x3/4" c/ EPDM;4;caixas 100un;Travamento longitudinal de emendas de telhas (383 un)
Cobertura/Metálica;Fita Vedação Butílica 15mm (rolos 10m);13;rolos 10m;Estanqueidade de emendas de telhas e calhas
Cobertura/Metálica;Terça Metálica Perfil U 100x40x2,25mm;28;barras 6m;Estrutura metálica de apoio (573,3 kg)
Cobertura/Metálica;Chumbadores Parabolts CBA 3/8" x 3";63;unidades;Ancoragem mecânica das terças nas muretas
Cobertura/Metálica;Calha Galvanizada nº 24 Dev 80cm;19;peças 3m;Captação pluvial com abas (54,6 m)
Cobertura/Metálica;Rebites de Repuxo Alumínio 4,0x10mm;5;centos (500un);Fixação de emendas de calhas e rufos
Cobertura/Metálica;Selante PU 40 p/ Calhas e Rufos;6;tubos 310ml;Calafetação e estanqueidade de calhas
Cobertura/Metálica;Rufo/Pingadeira Galvanizada Dev 40cm;29;peças 3m;Topo de platibanda (86,1 m)
Cobertura/Metálica;Ralo Hemisférico Abacaxi Inox Ø150mm;8;unidades;Bocais de descida pluvial de calhas
Elétrica/Telecom;Cabo Cobre Flexível 750V (2.5/4.0/6.0mm²);34;rolos de 100m;21 rolos 2,5mm² + 8 rolos 4,0mm² + 5 rolos 6,0mm²
Elétrica/Telecom;Cabo Sintenax 0,6/1kV 35mm²;126;m;Alimentador geral da entrada
Elétrica/Telecom;"Eletroduto Rígido PVC Ø3/4"" (25mm - 3m)";176;varas de 3m;Infraestrutura de teto e paredes
Elétrica/Telecom;"Caixas de Embutir PVC (194un 4x2"" + 26un 4x4"" + 72un Octogonais)";292;unidades;Pontos de tomada, interruptor, luz e dados
Elétrica/Telecom;"Módulos de Tomadas 10A/20A + Interruptores + Placas 4x2""";369;peças;142 tomadas + 33 interruptores + 194 placas/suportes
Elétrica/Telecom;Cabo UTP Cat6 LSZH (Dados/Voz);16;rolos de 100m;Cabeamento estruturado de rede
Elétrica/Telecom;"Kit Telecom (1 Rack 19"" 12U + 2 Patch Panels + 1 Switch PoE + 38 Keystones)";1;kit completo;Infraestrutura de dados de guarita e rede
Elétrica/Telecom;Quadros Elétricos (1 QDG 150A + 2 QDF 24e + Disjuntor Moldado 150A);4;conjuntos;Distribuição trifásica de energia
Elétrica/Telecom;Disjuntores DIN + DRs + DPSs;61;dispositivos;30 monopolares + 19 bipolares + 4 DRs 40A + 8 DPS
Elétrica/Telecom;Painéis e Luminárias LED (72 Painéis 60x60 + 17 Herméticas + 14 Emergência);103;luminárias;Iluminação interna, externa e de emergência
Elétrica/Telecom;Fita Isolante 3M 20m;30;rolos;Isolamento de conexões e caixas elétricas
Elétrica/Telecom;Abraçadeira Nylon 200 x 4,8mm (Enforca-Gato);20;pacotes c/ 100un (2000un);Organização de cabos no rack e eletrodutos
Elétrica/Telecom;"Abraçadeira Tipo D / Cunha 3/4"" de Aço Galvanizado";150;unidades;Fixação de eletrodutos aparentes
Elétrica/Telecom;Parafuso c/ Bucha Nylon S8 (Caixas c/ 100un);10;caixas (1000un);Fixação de luminárias, quadros, suportes e calhas
Hidráulica/Esgoto;Tubos PVC Soldável Água Fria (Ø25mm e Ø50mm - 6m);51;varas de 6m;33 varas Ø25mm + 18 varas Ø50mm
Hidráulica/Esgoto;Tubos PVC Esgoto/Pluvial (Ø40/75/100/150mm - 6m);67;varas de 6m;12 varas Ø40mm + 8 varas Ø75mm + 26 varas Ø100mm + 21 varas Ø150mm
Hidráulica/Esgoto;Conexões PVC Soldável Água Fria (Joelhos, Tês, Luvas, Transposição);217;unidades peça-a-peça;91 joelhos 90° Ø25 + 34 joelhos c/ latão + 51 tês + 15 curvas transposição + 26 outros
Hidráulica/Esgoto;Conexões PVC Esgoto (Joelhos 90°/45°, Junções Y 45°, Tês Sanitários);94;unidades peça-a-peça;38 joelhos 90° Ø100 + 24 joelhos 45° Ø100 + 19 junções Y + 13 tês sanitários
Hidráulica/Esgoto;"Registros c/ Canopla Cromada (12 Gaveta 3/4"" + 4 Gaveta 1.1/2"" + 6 Pressão)";22;registros cromados;Fecho geral e regulagem por ambiente
Hidráulica/Esgoto;Reservatórios Polietileno 5.000 Litros c/ Tampa;2;unidades;Reserva de água potável
Hidráulica/Esgoto;Kits Louças e Metais (10 Bacias C/ CA + 12 Lavatórios c/ Torneira Automática);22;conjuntos completos;Sanitários e apoio
Hidráulica/Esgoto;Sifões Sanfonados Universais + Engates Inox 40cm + Válvulas Escoamento;51;peças;15 sifões + 24 engates flexíveis + 12 válvulas inox
Hidráulica/Esgoto;Fita Veda-Rosca PTFE 18mm x 50m;12;rolos;Vedação de pontos roscados de metais e registros
Hidráulica/Esgoto;Adesivo Plástico para PVC (Frascos 850g);8;frascos de 850g;Colagem de conexões de água e esgoto
Hidráulica/Esgoto;Solução Preparadora para PVC (Frascos 850ml);6;frascos de 850ml;Limpeza e preparação de tubos antes da colagem
Consumíveis/Canteiro;Disco de Corte Diamantado 110mm (Serra Mármore);15;unidades;Corte de blocos, cerâmica e porcelanato
Consumíveis/Canteiro;"Disco de Corte para Aço 7"" (Esmerilhadeira)";25;unidades;Corte de vergalhões de aço e terças metálicas
Consumíveis/Canteiro;Lona Preta de Proteção e Impermeabilização 4x50m;2;rolos;Proteção de materiais no canteiro e cura de concreto
