Código EAP;Item / Descricao;Disciplina;Qtd Projeto;Unidade Proj;Perda (%);Qtd Comercial UCC;Unidade UCC;Prancha Referencia;Preço Unitário (R$);Custo Total (R$);Preco_Total;Preco_Unit;Pct_Individual;Pct_Acumulado;Classe_ABC
3.1.28;Luminária Hermética LED 2x18W IP65 (Áreas Técnicas);Elétrica;16.0;unid;5.0;17.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 146,25;R$ 2.340,00;2340.0;146.25;0.14089915385120622;96.11324927249674;C
3.2.24;Caixa de Inspeção Esgoto Concreto 60x60x60cm c/ Tampa;Hidráulica;6.0;unid;0.0;6.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 368,79;R$ 2.212,74;2212.74;368.79;0.1332364075609906;96.24648568005773;C
3.2.1;"Tubo PVC Soldável Água Fria Ø25mm (3/4"")";Hidráulica;180.0;m;10.0;33.0;varas de 6m (198m);AÇU-3.DES-2.3100-16-EGS-015;R$ 11,38;R$ 2.048,40;2048.4;11.38;0.1233409516020559;96.36982663165979;C
3.1.11;Módulo de Tomada 2P+T 10A / 250V (Branca);Elétrica;110.0;unid;5.0;116.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 18,44;R$ 2.028,40;2028.4;18.44;0.12213668532982337;96.49196331698961;C
3.1.10;"Conjunto Suporte + Placa 4x2"" c/ Parafusos";Elétrica;184.0;unid;5.0;194.0;conjuntos;AÇU-3.DES-2.3100-16-EGS-013;R$ 10,81;R$ 1.989,04;1989.04;10.81;0.11976668930606975;96.61173000629569;C
2.1.9.3;Fechaduras Completas (Cilindro / Gorge / Tranqueta);Arquitetura;24.0;unid;0.0;24.0;conjuntos completos;AÇU-3.DES-2.3100-15-EGS-018;R$ 82,66;R$ 1.983,84;1983.84;82.66;0.11945358007528928;96.73118358637097;C
2.1.1.9;Tela Metálica Galvanizada 15x50cm Amarração Pilar;Arquitetura;336.0;unid;5.0;353.0;telas de amarração;AÇU-3.DES-2.3100-15-EGS-015;R$ 5,72;R$ 1.921,92;1921.92;5.72;0.11572517169645737;96.84690875806743;C
2.2.1.2;"Parafusos Autobrocantes 12x1"" c/ Arruela EPDM";Cobertura;1716.0;unid;5.0;19.0;caixas 100un (1802 un);AÇU-3.DES-2.3100-15-EGS-017;R$ 1,08;R$ 1.853,28;1853.28;1.08;0.1115921298501553;96.95850088791758;C
2.1.5.4;Clips Niveladores Plásticos p/ Porcelanato 60x60cm;Arquitetura;4096.0;unid;0.0;41.0;sacos 100un (4100 un);AÇU-3.DES-2.3100-15-EGS-015;R$ 0,45;R$ 1.843,20;1843.2;0.45;0.1109851796489501;97.06948606756653;C
2.1.9.2;"Dobradiças 3 ½"" x 3"" em Aço Inox (3 un/folha)";Arquitetura;78.0;unid;5.0;82.0;dobradiças inox;AÇU-3.DES-2.3100-15-EGS-018;R$ 23,53;R$ 1.835,34;1835.34;23.53;0.11051190300396274;97.1799979705705;C
3.1.16;Módulo Tomada RJ45 Cat6 Keystone;Telecom;36.0;unid;5.0;38.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 49,79;R$ 1.792,44;1792.44;49.79;0.10792875185002397;97.28792672242052;C
2.2.4.1;Calha em Chapa Galvanizada nº 24 (Dev 80cm);Cobertura;52.0;m;5.0;19.0;peças de 3m (54.60 m);AÇU-3.DES-2.3100-15-EGS-017;R$ 33,95;R$ 1.765,40;1765.4;33.95;0.10630058384996557;97.3942273062705;C
3.1.21;Quadro de Distribuição de Luz QDF 24 Elementos embutir;Elétrica;2.0;unid;0.0;2.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 805,79;R$ 1.611,58;1611.58;805.79;0.09703857195022517;97.49126587822072;C
1.1.6;Concreto Usinado fck 30 MPa para Arranques dos Pilares P1-P24;Infraestrutura;1.86;m³;5.0;1.95;m³;AÇU-3.DES-2.3100-11-EGS-052;R$ 830,15;R$ 1.544,08;1544.08;830.15;0.09297417328144036;97.58424005150215;C
1.1.11;Armadura CA-50 Ø6,3mm / Ø12,5mm (Arranques dos Pilares P1-P24);Infraestrutura;145.7;kg;5.0;38.0;barras 12m (153.0 kg);AÇU-3.DES-2.3100-11-EGS-052;R$ 10,58;R$ 1.541,51;1541.51;10.58;0.09281942506545848;97.6770594765676;C
3.3.6;Exaustor Axial de Parede/Teto 150 m³/h;HVAC;6.0;unid;0.0;6.0;unidades;AÇU-3.DES-2.3100-64-EGS-008;R$ 253,00;R$ 1.518,00;1518.0;253.0;0.09140381006244916;97.76846328663005;C
2.2.10;Pintura Acrílica Impermeável 3 Demãos Face Interna da Platibanda;Cobertura;74.62;m²;5.0;2.0;latas 18L (78.35 m²);AÇU-3.DES-2.3100-15-EGS-017/019;R$ 19,65;R$ 1.466,28;1466.28;19.65;0.08828957748245582;97.85675286411251;C
1.1.14;Reaterro Compactado de Cavas e Valas c/ Maço/Sapo Líquido;Infraestrutura;31.17;m³;0.0;31.17;m³;AÇU-3.DES-2.3100-11-EGS-051/052;R$ 46,81;R$ 1.459,07;1459.07;46.81;0.087855439491316;97.94460830360383;C
2.1.5.5;Cunhas Niveladoras Plásticas Reutilizáveis (Giro 30%);Arquitetura;1229.0;unid;0.0;13.0;sacos 100un (1300 un);AÇU-3.DES-2.3100-15-EGS-015;R$ 1,08;R$ 1.327,32;1327.32;1.08;0.07992233542298419;98.0245306390268;C
3.2.17;"Registro de Gaveta Bruto c/ Canopla Cromada Ø25mm (3/4"")";Hidráulica;12.0;unid;0.0;12.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 106,56;R$ 1.278,72;1278.72;106.56;0.07699596838145915;98.10152660740826;C
3.1.24;Disjuntor Termomagnético DIN Bipolar/Tripolar 25A/32A;Elétrica;18.0;unid;5.0;19.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 66,13;R$ 1.190,34;1190.34;66.13;0.07167431572446359;98.17320092313273;C
3.1.30;"Haste de Aterramento Copperweld 3/4"" x 3,00m + Malha";Elétrica;6.0;unid;0.0;6.0;conjuntos;AÇU-3.DES-2.3100-16-EGS-013;R$ 184,40;R$ 1.106,40;1106.4;184.4;0.06662001017990365;98.23982093331263;C
3.1.29;Bloco Iluminação de Emergência LED 2x8W c/ Bateria;Elétrica;14.0;unid;0.0;14.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 78,85;R$ 1.103,90;1103.9;78.85;0.0664694768958746;98.3062904102085;C
3.1.20;Quadro Geral de Distribuição QDG 150A Trifásico;Elétrica;1.0;unid;0.0;1.0;unidade;AÇU-3.DES-2.3100-16-EGS-013;R$ 1.080,94;R$ 1.080,94;1080.94;1080.94;0.06508697921535164;98.37137738942386;C
