LOCAL_PAVIMENTO;SEQUENCIA;VAGAO;ATIVIDADE;EQUIPE_RESPONSAVEL;RITMO_DIAS_POR_LOCAL;DATA_INICIO;DATA_FIM
Zona 01 - Recepção/Diretoria;37;09. Reboco Paulista;Reboco Paulista;SUB-02 Alvenaria e Revestimento;2;21/12/2026;22/12/2026
Zona 02 - Salas Técnicas/CPD;38;09. Reboco Paulista;Reboco Paulista;SUB-02 Alvenaria e Revestimento;1;23/12/2026;23/12/2026
Zona 01 - Recepção/Diretoria;39;09. Reboco Paulista;Reboco Paulista;SUB-02 Alvenaria e Revestimento;3;24/12/2026;26/12/2026
Zona 02 - Salas Técnicas/CPD;40;09. Reboco Paulista;Reboco Paulista;SUB-02 Alvenaria e Revestimento;2;28/12/2026;29/12/2026
Zona 03 - Sanitários e Apoio;41;09. Reboco Paulista;Reboco Paulista;SUB-02 Alvenaria e Revestimento;1;30/12/2026;30/12/2026
Zona 03 - Sanitários e Apoio;42;10. Pisos & Porcelanato;Pisos & Porcelanato;SUB-01 Impermeabilização;3;31/12/2026;02/01/2027
Zona 01 - Recepção/Diretoria;43;10. Pisos & Porcelanato;Pisos & Porcelanato;SUB-02 Alvenaria e Revestimento;2;04/01/2027;05/01/2027
Zona 02 - Salas Técnicas/CPD;44;10. Pisos & Porcelanato;Pisos & Porcelanato;SUB-02 Alvenaria e Revestimento;1;06/01/2027;06/01/2027
Zona 01 - Recepção/Diretoria;45;10. Pisos & Porcelanato;Pisos & Porcelanato;SUB-05 Acabamentos e Pisos;3;07/01/2027;09/01/2027
Zona 02 - Salas Técnicas/CPD;46;10. Pisos & Porcelanato;Pisos & Porcelanato;SUB-05 Acabamentos e Pisos;3;11/01/2027;13/01/2027
Zona 03 - Sanitários e Apoio;47;10. Pisos & Porcelanato;Pisos & Porcelanato;SUB-05 Acabamentos e Pisos;3;14/01/2027;16/01/2027
Zona 01 - Recepção/Diretoria;48;10. Pisos & Porcelanato;Pisos & Porcelanato;SUB-05 Acabamentos e Pisos;1;18/01/2027;18/01/2027
Zona 02 - Salas Técnicas/CPD;49;10. Pisos & Porcelanato;Pisos & Porcelanato;SUB-05 Acabamentos e Pisos;1;19/01/2027;19/01/2027
Zona 03 - Sanitários e Apoio;50;10. Pisos & Porcelanato;Pisos & Porcelanato;SUB-05 Acabamentos e Pisos;1;20/01/2027;20/01/2027
Zona 01 - Recepção/Diretoria;51;11. Esquadrias de Alumínio;Esquadrias de Alumínio;SUB-07 Caixilharia e Esquadrias;2;21/01/2027;22/01/2027
Zona 02 - Salas Técnicas/CPD;52;11. Esquadrias de Alumínio;Esquadrias de Alumínio;SUB-07 Caixilharia e Esquadrias;1;23/01/2027;23/01/2027
Zona 01 - Recepção/Diretoria;53;11. Esquadrias de Alumínio;Esquadrias de Alumínio;SUB-07 Caixilharia e Esquadrias;2;25/01/2027;26/01/2027
Zona 03 - Sanitários e Apoio;54;11. Esquadrias de Alumínio;Esquadrias de Alumínio;SUB-07 Caixilharia e Esquadrias;1;27/01/2027;27/01/2027
Zona 01 - Recepção/Diretoria;55;12. Climatização HVAC;Climatização HVAC;SUB-08 Climatização e HVAC;1;28/01/2027;28/01/2027
Zona 02 - Salas Técnicas/CPD;56;12. Climatização HVAC;Climatização HVAC;SUB-08 Climatização e HVAC;1;29/01/2027;29/01/2027
Zona 03 - Sanitários e Apoio;57;12. Climatização HVAC;Climatização HVAC;SUB-08 Climatização e HVAC;1;30/01/2027;30/01/2027
Zona 01 - Recepção/Diretoria;58;12. Climatização HVAC;Climatização HVAC;SUB-08 Climatização e HVAC;1;01/02/2027;01/02/2027
Zona 02 - Salas Técnicas/CPD;59;12. Climatização HVAC;Climatização HVAC;SUB-08 Climatização e HVAC;1;02/02/2027;02/02/2027
Zona 03 - Sanitários e Apoio;60;12. Climatização HVAC;Climatização HVAC;SUB-08 Climatização e HVAC;1;03/02/2027;03/02/2027
Zona 01 - Recepção/Diretoria;61;13. Acabamentos Elétr./Hidr.;Acabamentos Elétr./Hidr.;SUB-03 Elétrica e Lógica;2;04/02/2027;05/02/2027
Zona 02 - Salas Técnicas/CPD;62;13. Acabamentos Elétr./Hidr.;Acabamentos Elétr./Hidr.;SUB-03 Elétrica e Lógica;1;06/02/2027;06/02/2027
Zona 01 - Recepção/Diretoria;63;13. Acabamentos Elétr./Hidr.;Acabamentos Elétr./Hidr.;SUB-03 Elétrica e Lógica;1;08/02/2027;08/02/2027
Zona 02 - Salas Técnicas/CPD;64;13. Acabamentos Elétr./Hidr.;Acabamentos Elétr./Hidr.;SUB-03 Elétrica e Lógica;1;09/02/2027;09/02/2027
Zona 03 - Sanitários e Apoio;65;13. Acabamentos Elétr./Hidr.;Acabamentos Elétr./Hidr.;SUB-03 Elétrica e Lógica;1;10/02/2027;10/02/2027
Zona 01 - Recepção/Diretoria;66;14. Pintura Acrílica Final;Pintura Acrílica Final;SUB-06 Pintura;2;11/02/2027;12/02/2027
Zona 02 - Salas Técnicas/CPD;67;14. Pintura Acrílica Final;Pintura Acrílica Final;SUB-06 Pintura;1;13/02/2027;13/02/2027
Zona 01 - Recepção/Diretoria;68;14. Pintura Acrílica Final;Pintura Acrílica Final;SUB-06 Pintura;2;15/02/2027;16/02/2027
Zona 03 - Sanitários e Apoio;69;14. Pintura Acrílica Final;Pintura Acrílica Final;SUB-06 Pintura;1;17/02/2027;17/02/2027
Zona 03 - Sanitários e Apoio;70;13. Acabamentos Elétr./Hidr.;Acabamentos Elétr./Hidr.;SUB-04 Hidráulica e Sanitários;3;18/02/2027;20/02/2027
Zona 01 - Recepção/Diretoria;71;13. Acabamentos Elétr./Hidr.;Acabamentos Elétr./Hidr.;SUB-03 Elétrica e Lógica;1;22/02/2027;22/02/2027
Zona 02 - Salas Técnicas/CPD;72;13. Acabamentos Elétr./Hidr.;Acabamentos Elétr./Hidr.;SUB-03 Elétrica e Lógica;1;23/02/2027;23/02/2027
Zona 03 - Sanitários e Apoio;73;13. Acabamentos Elétr./Hidr.;Acabamentos Elétr./Hidr.;SUB-03 Elétrica e Lógica;1;24/02/2027;24/02/2027
Zona 01 - Recepção/Diretoria;74;14. Pintura Acrílica Final;Pintura Acrílica Final;SUB-06 Pintura;1;25/02/2027;25/02/2027
Zona 02 - Salas Técnicas/CPD;75;14. Pintura Acrílica Final;Pintura Acrílica Final;SUB-06 Pintura;1;26/02/2027;26/02/2027
Zona 03 - Sanitários e Apoio;76;14. Pintura Acrílica Final;Pintura Acrílica Final;SUB-06 Pintura;1;27/02/2027;27/02/2027
Zona 01 - Recepção/Diretoria;77;12. Climatização HVAC;Climatização HVAC;SUB-08 Climatização e HVAC;1;01/03/2027;01/03/2027
Zona 02 - Salas Técnicas/CPD;78;12. Climatização HVAC;Climatização HVAC;SUB-08 Climatização e HVAC;1;02/03/2027;02/03/2027
Zona 03 - Sanitários e Apoio;79;12. Climatização HVAC;Climatização HVAC;SUB-08 Climatização e HVAC;1;03/03/2027;03/03/2027
Zona 01 - Recepção/Diretoria;80;15. Comissionamento & Entrega;Comissionamento & Entrega;SUB-08 Climatização e HVAC;1;04/03/2027;04/03/2027
Zona 02 - Salas Técnicas/CPD;81;15. Comissionamento & Entrega;Comissionamento & Entrega;SUB-08 Climatização e HVAC;1;05/03/2027;05/03/2027
Zona 03 - Sanitários e Apoio;82;15. Comissionamento & Entrega;Comissionamento & Entrega;SUB-08 Climatização e HVAC;1;06/03/2027;06/03/2027
Zona 01 - Recepção/Diretoria;83;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;08/03/2027;08/03/2027
Zona 02 - Salas Técnicas/CPD;84;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;09/03/2027;09/03/2027
Zona 03 - Sanitários e Apoio;85;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;10/03/2027;10/03/2027
Zona 01 - Recepção/Diretoria;86;15. Comissionamento & Entrega;Comissionamento & Entrega;SUB-03 Elétrica e Lógica;1;11/03/2027;11/03/2027
Zona 02 - Salas Técnicas/CPD;87;15. Comissionamento & Entrega;Comissionamento & Entrega;SUB-03 Elétrica e Lógica;1;12/03/2027;12/03/2027
Zona 03 - Sanitários e Apoio;88;15. Comissionamento & Entrega;Comissionamento & Entrega;SUB-03 Elétrica e Lógica;1;13/03/2027;13/03/2027
Zona 01 - Recepção/Diretoria;89;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;15/03/2027;15/03/2027
Zona 02 - Salas Técnicas/CPD;90;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;16/03/2027;16/03/2027
Zona 03 - Sanitários e Apoio;91;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;17/03/2027;17/03/2027
Zona 01 - Recepção/Diretoria;92;15. Comissionamento & Entrega;Comissionamento & Entrega;SUB-08 Climatização e HVAC;1;18/03/2027;18/03/2027
Zona 02 - Salas Técnicas/CPD;93;15. Comissionamento & Entrega;Comissionamento & Entrega;SUB-08 Climatização e HVAC;1;19/03/2027;19/03/2027
Zona 03 - Sanitários e Apoio;94;15. Comissionamento & Entrega;Comissionamento & Entrega;SUB-08 Climatização e HVAC;1;20/03/2027;20/03/2027
Zona 01 - Recepção/Diretoria;95;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;22/03/2027;22/03/2027
Zona 02 - Salas Técnicas/CPD;96;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;23/03/2027;23/03/2027
Zona 03 - Sanitários e Apoio;97;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;24/03/2027;24/03/2027
Zona 01 - Recepção/Diretoria;98;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;25/03/2027;25/03/2027
Zona 02 - Salas Técnicas/CPD;99;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;26/03/2027;26/03/2027
Zona 03 - Sanitários e Apoio;100;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;27/03/2027;27/03/2027
Zona 01 - Recepção/Diretoria;101;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;29/03/2027;29/03/2027
Zona 02 - Salas Técnicas/CPD;102;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;30/03/2027;30/03/2027
Zona 03 - Sanitários e Apoio;103;15. Comissionamento & Entrega;Comissionamento & Entrega;Equipe Própria / Turnkey;1;31/03/2027;31/03/2027
